"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"3","0.001863314","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=1438, FN=0, Flags=.p....F.C"
"4","0.001863895","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=1439, FN=0, Flags=.p....F.C"
"5","0.001999257","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-59dBm","QoS Data, SN=1438, FN=0, Flags=.p..R.F.C"
"6","0.002382616","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=1440, FN=0, Flags=.p....F.C"
"12","0.002617358","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-59dBm","QoS Data, SN=1440, FN=0, Flags=.p..R.F.C"
"19","0.006460742","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","155","-59dBm","QoS Data, SN=1446, FN=0, Flags=.p....F.C"
"20","0.006461256","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","155","-59dBm","QoS Data, SN=1447, FN=0, Flags=.p....F.C"
"27","0.008952002","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-59dBm","QoS Data, SN=1448, FN=0, Flags=.p....F.C"
"32","0.009085604","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","159","-60dBm","QoS Data, SN=1451, FN=0, Flags=.p..R.F.C"
"46","0.018975900","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","155","-60dBm","QoS Data, SN=1453, FN=0, Flags=.p....F.C"
"54","0.019335146","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-60dBm","QoS Data, SN=1461, FN=0, Flags=.p....F.C"
"55","0.019336175","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-60dBm","QoS Data, SN=1462, FN=0, Flags=.p....F.C"
"66","0.022539139","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-60dBm","QoS Data, SN=1468, FN=0, Flags=.p....F.C"
"67","0.022540068","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-60dBm","QoS Data, SN=1469, FN=0, Flags=.p....F.C"
"72","0.024126487","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-60dBm","QoS Data, SN=1470, FN=0, Flags=.p....F.C"
"73","0.024127369","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=1471, FN=0, Flags=.p....F.C"
"74","0.024769256","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-60dBm","QoS Data, SN=1472, FN=0, Flags=.p....F.C"
"75","0.024770392","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","147","-60dBm","QoS Data, SN=1473, FN=0, Flags=.p....F.C"
"78","0.025441031","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-60dBm","QoS Data, SN=1474, FN=0, Flags=.p..R.F.C"
"81","0.026956659","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=1476, FN=0, Flags=.p....F.C"
"83","0.027796905","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-59dBm","QoS Data, SN=1478, FN=0, Flags=.p....F.C"
"89","0.030363381","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-60dBm","QoS Data, SN=1479, FN=0, Flags=.p....F.C"
"94","0.033081008","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-60dBm","QoS Data, SN=1480, FN=0, Flags=.p....F.C"
"95","0.033637437","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-60dBm","QoS Data, SN=1480, FN=0, Flags=.p..R.F.C"
"109","0.036527554","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-60dBm","QoS Data, SN=1481, FN=0, Flags=.p....F.C"
"110","0.036528919","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=1482, FN=0, Flags=.p....F.C"
"112","0.037733638","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-60dBm","QoS Data, SN=1483, FN=0, Flags=.p....F.C"
"113","0.037856614","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-60dBm","QoS Data, SN=1484, FN=0, Flags=.p....F.C"
"117","0.040545318","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-60dBm","QoS Data, SN=1485, FN=0, Flags=.p....F.C"
