"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2841, FN=0, Flags=.p....F.C"
"3","0.000789013","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2843, FN=0, Flags=.p....F.C"
"5","0.002739585","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2844, FN=0, Flags=.p....F.C"
"6","0.002740925","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=2845, FN=0, Flags=.p....F.C"
"7","0.003045836","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-61dBm","QoS Data, SN=2844, FN=0, Flags=.p..R.F.C"
"8","0.003652398","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2846, FN=0, Flags=.p....F.C"
"11","0.004156096","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2846, FN=0, Flags=.p..R.F.C"
"13","0.004696985","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-61dBm","QoS Data, SN=2846, FN=0, Flags=.p..R.F.C"
"16","0.005453661","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-60dBm","QoS Data, SN=2849, FN=0, Flags=.p....F.C"
"22","0.013460296","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-60dBm","QoS Data, SN=2850, FN=0, Flags=.p....F.C"
"24","0.022189478","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2851, FN=0, Flags=.p....F.C"
"26","0.022770246","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2851, FN=0, Flags=.p..R.F.C"
"27","0.023381198","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2853, FN=0, Flags=.p....F.C"
"33","0.024795766","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2855, FN=0, Flags=.p..R.F.C"
"38","0.030968757","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2859, FN=0, Flags=.p....F.C"
"39","0.031494880","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2859, FN=0, Flags=.p..R.F.C"
"40","0.032019131","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2859, FN=0, Flags=.p..R.F.C"
"42","0.032843913","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2861, FN=0, Flags=.p....F.C"
"43","0.033171775","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2862, FN=0, Flags=.p....F.C"
"45","0.036050007","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","Beacon frame, SN=3985, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"49","0.050564111","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-60dBm","QoS Data, SN=2863, FN=0, Flags=.p....F.C"
"50","0.050717659","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-60dBm","QoS Data, SN=2864, FN=0, Flags=.p....F.C"
"51","0.051048360","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-61dBm","QoS Data, SN=2865, FN=0, Flags=.p....F.C"
"53","0.051598239","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-61dBm","QoS Data, SN=2865, FN=0, Flags=.p..R.F.C"
"55","0.052395187","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=2867, FN=0, Flags=.p....F.C"
"58","0.054769403","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=2869, FN=0, Flags=.p....F.C"
"60","0.057507787","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=2870, FN=0, Flags=.p....F.C"
"61","0.060251612","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=2871, FN=0, Flags=.p....F.C"
"62","0.063267979","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-59dBm","QoS Data, SN=2872, FN=0, Flags=.p....F.C"
"63","0.079808629","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-60dBm","QoS Data, SN=2873, FN=0, Flags=.p....F.C"
"66","0.083297246","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=2874, FN=0, Flags=.p....F.C"
