"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"2","0.018434142","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=1259, FN=0, Flags=.p....F.C"
"3","0.043968819","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-61dBm","QoS Data, SN=1260, FN=0, Flags=.p....F.C"
"5","0.057821994","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-61dBm","QoS Data, SN=1261, FN=0, Flags=.p....F.C"
"7","0.059815169","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-61dBm","QoS Data, SN=1262, FN=0, Flags=.p....F.C"
"9","0.062551088","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-61dBm","QoS Data, SN=1263, FN=0, Flags=.p....F.C"
"10","0.062800820","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-61dBm","QoS Data, SN=1263, FN=0, Flags=.p..R.F.C"
"11","0.062906755","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-61dBm","QoS Data, SN=1264, FN=0, Flags=.p....F.C"
"14","0.069560768","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-61dBm","QoS Data, SN=1265, FN=0, Flags=.p....F.C"
"15","0.069953189","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-61dBm","QoS Data, SN=1265, FN=0, Flags=.p..R.F.C"
"17","0.074545682","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-61dBm","QoS Data, SN=1266, FN=0, Flags=.p....F.C"
"18","0.074877340","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-61dBm","QoS Data, SN=1267, FN=0, Flags=.p....F.C"
"21","0.081796142","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-61dBm","QoS Data, SN=1268, FN=0, Flags=.p....F.C"
"23","0.090014726","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-61dBm","QoS Data, SN=1269, FN=0, Flags=.p....F.C"
"24","0.090628313","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-61dBm","QoS Data, SN=1269, FN=0, Flags=.p..R.F.C"
"25","0.090752942","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-61dBm","QoS Data, SN=1270, FN=0, Flags=.p....F.C"
"27","0.096877950","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","Beacon frame, SN=1455, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"30","0.098503986","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","QoS Data, SN=1271, FN=0, Flags=.p....F.C"
"32","0.099076269","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-61dBm","QoS Data, SN=1271, FN=0, Flags=.p..R.F.C"
"39","0.100653007","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-61dBm","QoS Data, SN=1279, FN=0, Flags=.p....F.C"
"42","0.101721779","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-61dBm","QoS Data, SN=1281, FN=0, Flags=.p....F.C"
"43","0.102243730","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-61dBm","QoS Data, SN=1281, FN=0, Flags=.p..R.F.C"
