"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"8","0.006981419","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-63dBm","QoS Data, SN=3082, FN=0, Flags=.p....F.C"
"10","0.009237581","e8:48:b8:da:df:46","Broadcast","802.11","452","-64dBm","Beacon frame, SN=1287, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"14","0.010755934","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3083, FN=0, Flags=.p....F.C"
"17","0.012103949","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-63dBm","QoS Data, SN=3085, FN=0, Flags=.p....F.C"
"18","0.012341442","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","850","-63dBm","QoS Data, SN=3086, FN=0, Flags=.p....F.C"
"19","0.012482438","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","189","-64dBm","QoS Data, SN=3087, FN=0, Flags=.p....F.C"
"25","0.014993774","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-64dBm","QoS Data, SN=3089, FN=0, Flags=.p....F.C"
"29","0.018012245","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","205","-64dBm","QoS Data, SN=3091, FN=0, Flags=.p....F.C"
"30","0.018137381","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-64dBm","QoS Data, SN=3092, FN=0, Flags=.p....F.C"
"33","0.021008423","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3094, FN=0, Flags=.p..R.F.C"
"34","0.021477527","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-65dBm","QoS Data, SN=3094, FN=0, Flags=.p..R.F.C"
"46","0.024409586","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-64dBm","QoS Data, SN=3097, FN=0, Flags=.p....F.C"
"51","0.026704109","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3099, FN=0, Flags=.p....F.C"
"54","0.031662899","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3100, FN=0, Flags=.p....F.C"
"55","0.037121811","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3101, FN=0, Flags=.p....F.C"
"59","0.042669412","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-63dBm","QoS Data, SN=3104, FN=0, Flags=.p....F.C"
"60","0.042672492","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-63dBm","QoS Data, SN=3105, FN=0, Flags=.p....F.C"
"61","0.043040606","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-63dBm","QoS Data, SN=3106, FN=0, Flags=.p....F.C"
"67","0.045800974","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1385","-63dBm","QoS Data, SN=3107, FN=0, Flags=.p....F.C"
"71","0.056608133","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3110, FN=0, Flags=.p....F.C"
"73","0.059261078","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3111, FN=0, Flags=.p....F.C"
"74","0.060050321","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3112, FN=0, Flags=.p..R.F.C"
"75","0.060664599","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3112, FN=0, Flags=.p..R.F.C"
"77","0.061991558","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3113, FN=0, Flags=.p....F.C"
"79","0.064667795","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3114, FN=0, Flags=.p....F.C"
"80","0.065025629","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3115, FN=0, Flags=.p....F.C"
"81","0.065170510","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-64dBm","QoS Data, SN=3116, FN=0, Flags=.p....F.C"
"85","0.069974620","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","569","-64dBm","QoS Data, SN=3119, FN=0, Flags=.p....F.C"
"86","0.070347683","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","569","-64dBm","QoS Data, SN=3119, FN=0, Flags=.p..R.F.C"
"89","0.076144810","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3121, FN=0, Flags=.p....F.C"
"91","0.084621683","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3122, FN=0, Flags=.p....F.C"
"93","0.098378954","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3124, FN=0, Flags=.p....F.C"
"95","0.104042902","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3125, FN=0, Flags=.p..R.F.C"
"97","0.111447221","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3126, FN=0, Flags=.p....F.C"
"98","0.112101894","e8:48:b8:da:df:46","Broadcast","802.11","452","-65dBm","Beacon frame, SN=1289, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"101","0.114180182","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3127, FN=0, Flags=.p....F.C"
"103","0.119681830","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3128, FN=0, Flags=.p....F.C"
"104","0.122423053","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3129, FN=0, Flags=.p....F.C"
"106","0.125425839","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3130, FN=0, Flags=.p....F.C"
"107","0.130484050","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","483","-63dBm","QoS Data, SN=3131, FN=0, Flags=.p....F.C"
"108","0.130861071","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","483","-64dBm","QoS Data, SN=3131, FN=0, Flags=.p..R.F.C"
"110","0.133427327","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3132, FN=0, Flags=.p....F.C"
"111","0.138925226","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3133, FN=0, Flags=.p....F.C"
"113","0.141659580","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3134, FN=0, Flags=.p....F.C"
"117","0.144406422","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3136, FN=0, Flags=.p....F.C"
"119","0.147392500","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3138, FN=0, Flags=.p....F.C"
"120","0.147886364","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3138, FN=0, Flags=.p..R.F.C"
"125","0.150426184","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3140, FN=0, Flags=.p....F.C"
"128","0.152662427","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-64dBm","QoS Data, SN=3142, FN=0, Flags=.p....F.C"
"129","0.152702042","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-64dBm","QoS Data, SN=3143, FN=0, Flags=.p....F.C"
"130","0.153054494","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-64dBm","QoS Data, SN=3144, FN=0, Flags=.p....F.C"
"133","0.155661584","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3145, FN=0, Flags=.p....F.C"
"134","0.155663975","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-64dBm","QoS Data, SN=3146, FN=0, Flags=.p....F.C"
"135","0.156035635","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3145, FN=0, Flags=.p..R.F.C"
"138","0.158653999","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3147, FN=0, Flags=.p....F.C"
"139","0.164215277","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3148, FN=0, Flags=.p....F.C"
"141","0.169423248","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3149, FN=0, Flags=.p....F.C"
"142","0.172486097","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3150, FN=0, Flags=.p....F.C"
"144","0.174956799","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3151, FN=0, Flags=.p....F.C"
"146","0.177673355","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-64dBm","QoS Data, SN=3153, FN=0, Flags=.p....F.C"
"147","0.178335805","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3154, FN=0, Flags=.p....F.C"
"148","0.180410414","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3155, FN=0, Flags=.p....F.C"
"151","0.183146290","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3156, FN=0, Flags=.p....F.C"
"154","0.185858168","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3158, FN=0, Flags=.p....F.C"
"159","0.194658689","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3161, FN=0, Flags=.p..R.F.C"
"161","0.196673768","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3162, FN=0, Flags=.p....F.C"
"162","0.196995725","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3163, FN=0, Flags=.p....F.C"
"163","0.199456385","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3164, FN=0, Flags=.p....F.C"
"166","0.207669460","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3165, FN=0, Flags=.p....F.C"
"167","0.207994857","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3166, FN=0, Flags=.p....F.C"
"171","0.214071525","e8:48:b8:da:df:46","Broadcast","802.11","452","-63dBm","Beacon frame, SN=1291, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"174","0.216195665","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3168, FN=0, Flags=.p....F.C"
"175","0.216394544","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-64dBm","QoS Data, SN=3170, FN=0, Flags=.p....F.C"
"177","0.221672526","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3172, FN=0, Flags=.p....F.C"
"179","0.224399148","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3173, FN=0, Flags=.p....F.C"
"180","0.224688902","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3174, FN=0, Flags=.p....F.C"
"181","0.225246318","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3174, FN=0, Flags=.p..R.F.C"
"186","0.229918359","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3176, FN=0, Flags=.p....F.C"
"187","0.232881749","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3177, FN=0, Flags=.p....F.C"
"188","0.233512092","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3177, FN=0, Flags=.p..R.F.C"
"190","0.235146681","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-63dBm","QoS Data, SN=3178, FN=0, Flags=.p....F.C"
"191","0.235148596","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-63dBm","QoS Data, SN=3179, FN=0, Flags=.p....F.C"
"192","0.235472161","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-63dBm","QoS Data, SN=3180, FN=0, Flags=.p....F.C"
"193","0.238438426","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3181, FN=0, Flags=.p....F.C"
"194","0.238441457","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-64dBm","QoS Data, SN=3182, FN=0, Flags=.p....F.C"
"196","0.240912031","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3183, FN=0, Flags=.p....F.C"
"200","0.242783643","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3185, FN=0, Flags=.p....F.C"
"202","0.243642864","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3186, FN=0, Flags=.p....F.C"
"206","0.246666936","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3187, FN=0, Flags=.p....F.C"
"208","0.254622731","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-64dBm","QoS Data, SN=3189, FN=0, Flags=.p....F.C"
"210","0.256377450","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-62dBm","QoS Data, SN=3189, FN=0, Flags=.p..R.F.C"
"211","0.257624255","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3191, FN=0, Flags=.p..R.F.C"
"212","0.258174670","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3191, FN=0, Flags=.p..R.F.C"
"214","0.260159017","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3192, FN=0, Flags=.p....F.C"
"217","0.265681023","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3193, FN=0, Flags=.p....F.C"
"218","0.265682804","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-63dBm","QoS Data, SN=3194, FN=0, Flags=.p....F.C"
"219","0.268763554","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3195, FN=0, Flags=.p....F.C"
"220","0.268764936","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-64dBm","QoS Data, SN=3196, FN=0, Flags=.p....F.C"
"223","0.271234321","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","471","-64dBm","QoS Data, SN=3197, FN=0, Flags=.p....F.C"
"225","0.274377487","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3198, FN=0, Flags=.p....F.C"
"228","0.279414199","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3199, FN=0, Flags=.p....F.C"
"230","0.284939247","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-64dBm","QoS Data, SN=3200, FN=0, Flags=.p....F.C"
"231","0.284942837","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-64dBm","QoS Data, SN=3201, FN=0, Flags=.p....F.C"
"232","0.287688762","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3202, FN=0, Flags=.p....F.C"
"233","0.287691947","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","147","-63dBm","QoS Data, SN=3203, FN=0, Flags=.p....F.C"
