"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=910, FN=0, Flags=.p....F.C"
"2","0.000456210","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-62dBm","QoS Data, SN=911, FN=0, Flags=.p....F.C"
"3","0.001001481","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-62dBm","QoS Data, SN=911, FN=0, Flags=.p..R.F.C"
"4","0.001002231","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","175","-62dBm","QoS Data, SN=912, FN=0, Flags=.p....F.C"
"8","0.003462193","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-62dBm","QoS Data, SN=916, FN=0, Flags=.p....F.C"
"9","0.003716197","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-62dBm","QoS Data, SN=917, FN=0, Flags=.p....F.C"
"16","0.006075602","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-62dBm","QoS Data, SN=918, FN=0, Flags=.p....F.C"
"17","0.006605336","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-62dBm","QoS Data, SN=918, FN=0, Flags=.p..R.F.C"
"23","0.008528060","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-62dBm","QoS Data, SN=920, FN=0, Flags=.p....F.C"
"26","0.038557576","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-62dBm","QoS Data, SN=921, FN=0, Flags=.p....F.C"
"29","0.041530311","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-62dBm","QoS Data, SN=922, FN=0, Flags=.p....F.C"
"31","0.049536546","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","QoS Data, SN=923, FN=0, Flags=.p....F.C"
"33","0.066280944","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-61dBm","QoS Data, SN=924, FN=0, Flags=.p....F.C"
"35","0.067110808","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=926, FN=0, Flags=.p....F.C"
"39","0.068483412","e8:48:b8:da:df:46","Broadcast","802.11","452","-60dBm","Beacon frame, SN=3342, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"43","0.070009782","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=930, FN=0, Flags=.p....F.C"
"51","0.072014701","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=937, FN=0, Flags=.p..R.F.C"
"59","0.074033826","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=938, FN=0, Flags=.p..R.F.C"
"63","0.075076092","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=946, FN=0, Flags=.p....F.C"
"71","0.077115896","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=950, FN=0, Flags=.p..R.F.C"
"78","0.078904867","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-63dBm","QoS Data, SN=953, FN=0, Flags=.p..R.F.C"
"98","0.081565102","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=961, FN=0, Flags=.p....F.C"
"106","0.083554474","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=969, FN=0, Flags=.p....F.C"
"109","0.084573431","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=972, FN=0, Flags=.p....F.C"
"120","0.085767038","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-62dBm","QoS Data, SN=975, FN=0, Flags=.p....F.C"
"125","0.099306214","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","QoS Data, SN=976, FN=0, Flags=.p....F.C"
"129","0.107820982","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-61dBm","QoS Data, SN=977, FN=0, Flags=.p....F.C"
"157","0.126570743","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","QoS Data, SN=979, FN=0, Flags=.p....F.C"
"160","0.129286561","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-61dBm","QoS Data, SN=980, FN=0, Flags=.p....F.C"
"161","0.140289421","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=981, FN=0, Flags=.p....F.C"
"162","0.151545205","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-61dBm","QoS Data, SN=982, FN=0, Flags=.p....F.C"
"164","0.168529156","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-62dBm","QoS Data, SN=983, FN=0, Flags=.p....F.C"
