"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:46","Broadcast","802.11","452","-62dBm","Beacon frame, SN=2906, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"4","0.008766150","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","QoS Data, SN=3331, FN=0, Flags=.p....F.C"
"7","0.017704515","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","QoS Data, SN=3332, FN=0, Flags=.p....F.C"
"9","0.021966509","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3333, FN=0, Flags=.p....F.C"
"10","0.022316178","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3334, FN=0, Flags=.p....F.C"
"11","0.022667697","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3335, FN=0, Flags=.p....F.C"
"13","0.023269184","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-62dBm","QoS Data, SN=3336, FN=0, Flags=.p....F.C"
"16","0.027025852","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=3337, FN=0, Flags=.p....F.C"
"19","0.028073606","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-61dBm","QoS Data, SN=3339, FN=0, Flags=.p....F.C"
"25","0.029567185","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=3340, FN=0, Flags=.p..R.F.C"
"29","0.030650763","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=3344, FN=0, Flags=.p..R.F.C"
"30","0.030963232","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=3345, FN=0, Flags=.p....F.C"
"38","0.033131895","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3350, FN=0, Flags=.p....F.C"
"42","0.034185710","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3351, FN=0, Flags=.p..R.F.C"
"48","0.035511267","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3358, FN=0, Flags=.p..R.F.C"
"56","0.037510230","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3366, FN=0, Flags=.p....F.C"
"64","0.039515171","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3374, FN=0, Flags=.p....F.C"
"69","0.041134013","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3378, FN=0, Flags=.p....F.C"
"76","0.042865658","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3380, FN=0, Flags=.p..R.F.C"
"81","0.044208457","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3382, FN=0, Flags=.p..R.F.C"
"89","0.046413089","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3382, FN=0, Flags=.p..R.F.C"
"97","0.048436286","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=3390, FN=0, Flags=.p....F.C"
"105","0.050416989","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-63dBm","QoS Data, SN=3398, FN=0, Flags=.p....F.C"
"107","0.051289702","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-63dBm","QoS Data, SN=3398, FN=0, Flags=.p..R.F.C"
"108","0.051290356","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-63dBm","QoS Data, SN=3401, FN=0, Flags=.p....F.C"
"113","0.052611637","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=3406, FN=0, Flags=.p....F.C"
"116","0.054677089","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=3409, FN=0, Flags=.p....F.C"
"118","0.055030369","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=3411, FN=0, Flags=.p....F.C"
"126","0.057090270","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-63dBm","QoS Data, SN=3411, FN=0, Flags=.p..R.F.C"
"144","0.061033109","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","QoS Data, SN=3419, FN=0, Flags=.p....F.C"
"150","0.066401479","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-62dBm","QoS Data, SN=3420, FN=0, Flags=.p....F.C"
"152","0.071200003","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3421, FN=0, Flags=.p....F.C"
"153","0.071479526","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3422, FN=0, Flags=.p....F.C"
"154","0.072121611","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3422, FN=0, Flags=.p..R.F.C"
"157","0.102366343","e8:48:b8:da:df:46","Broadcast","802.11","452","-61dBm","Beacon frame, SN=2908, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"160","0.161256546","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3423, FN=0, Flags=.p....F.C"
"161","0.161844743","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3423, FN=0, Flags=.p..R.F.C"
"163","0.162462967","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3423, FN=0, Flags=.p..R.F.C"
"164","0.165209271","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3425, FN=0, Flags=.p....F.C"
"167","0.166343687","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3427, FN=0, Flags=.p....F.C"
"171","0.170680755","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","QoS Data, SN=3429, FN=0, Flags=.p....F.C"
"172","0.170681737","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","402","-62dBm","QoS Data, SN=3430, FN=0, Flags=.p....F.C"
"183","0.197212649","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3431, FN=0, Flags=.p....F.C"
"185","0.197993002","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-61dBm","QoS Data, SN=3433, FN=0, Flags=.p....F.C"
"189","0.199053120","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3437, FN=0, Flags=.p....F.C"
"197","0.201075261","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3439, FN=0, Flags=.p..R.F.C"
"200","0.201881904","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3447, FN=0, Flags=.p....F.C"
"208","0.203849476","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3447, FN=0, Flags=.p..R.F.C"
"214","0.205381230","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3455, FN=0, Flags=.p....F.C"
"226","0.208060685","e8:48:b8:da:df:46","Broadcast","802.11","452","-62dBm","Beacon frame, SN=2910, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"230","0.209585424","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3455, FN=0, Flags=.p..R.F.C"
"231","0.210139007","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3455, FN=0, Flags=.p..R.F.C"
"232","0.210413253","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3463, FN=0, Flags=.p....F.C"
"240","0.212449880","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-63dBm","QoS Data, SN=3463, FN=0, Flags=.p..R.F.C"
"243","0.213270817","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-62dBm","QoS Data, SN=3471, FN=0, Flags=.p....F.C"
"252","0.214862282","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=3477, FN=0, Flags=.p....F.C"
"271","0.236233426","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-62dBm","QoS Data, SN=3478, FN=0, Flags=.p....F.C"
"273","0.243441341","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=3479, FN=0, Flags=.p....F.C"
"276","0.253800162","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","QoS Data, SN=3480, FN=0, Flags=.p....F.C"
"278","0.284221420","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-62dBm","QoS Data, SN=3481, FN=0, Flags=.p....F.C"
"279","0.284689746","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","QoS Data, SN=3482, FN=0, Flags=.p....F.C"
"281","0.299209144","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=3483, FN=0, Flags=.p....F.C"
"283","0.307150934","e8:48:b8:da:df:46","Broadcast","802.11","452","-62dBm","Beacon frame, SN=2912, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"286","0.331231501","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","QoS Data, SN=3485, FN=0, Flags=.p....F.C"
"287","0.331545650","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","QoS Data, SN=3485, FN=0, Flags=.p..R.F.C"
"290","0.335207534","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=3486, FN=0, Flags=.p....F.C"
"291","0.336224575","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=3487, FN=0, Flags=.p....F.C"
"293","0.351469995","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=3488, FN=0, Flags=.p....F.C"
"294","0.351725719","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=3488, FN=0, Flags=.p..R.F.C"
