"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"9","0.002274729","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-61dBm","QoS Data, SN=2011, FN=0, Flags=.p....F.C"
"10","0.002275369","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-61dBm","QoS Data, SN=2012, FN=0, Flags=.p....F.C"
"12","0.002695812","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-60dBm","QoS Data, SN=2014, FN=0, Flags=.p....F.C"
"28","0.006417521","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-61dBm","QoS Data, SN=2019, FN=0, Flags=.p....F.C"
"29","0.006418131","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-61dBm","QoS Data, SN=2020, FN=0, Flags=.p....F.C"
"35","0.008135027","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=2021, FN=0, Flags=.p....F.C"
"36","0.008135750","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=2022, FN=0, Flags=.p....F.C"
"45","0.010901173","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-61dBm","QoS Data, SN=2024, FN=0, Flags=.p....F.C"
"46","0.010901742","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-61dBm","QoS Data, SN=2025, FN=0, Flags=.p....F.C"
"47","0.011039354","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-61dBm","QoS Data, SN=2025, FN=0, Flags=.p..R.F.C"
"48","0.011411048","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-61dBm","QoS Data, SN=2025, FN=0, Flags=.p..R.F.C"
"49","0.011411706","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-61dBm","QoS Data, SN=2026, FN=0, Flags=.p....F.C"
"59","0.013515566","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","QoS Data, SN=2029, FN=0, Flags=.p....F.C"
