"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"425","18.023069216","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1874, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"427","18.125648574","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1876, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"429","18.227832413","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1878, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"431","18.330288106","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=1880, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"433","18.432691136","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1882, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"435","18.535097394","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1884, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"437","18.637477774","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1886, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"439","18.739915491","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1888, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"441","18.842245351","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1890, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"443","18.944685319","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1892, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"445","19.047145271","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1894, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"447","19.149530223","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1896, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"449","19.252149705","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1898, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"451","19.354653506","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1900, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"453","19.456811750","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1902, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"455","19.559230975","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1904, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"457","19.661582395","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1906, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"459","19.763935602","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1908, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"461","19.866333540","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1910, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"463","19.968744131","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1912, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"465","20.071149251","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1914, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"467","20.173541619","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1916, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"471","20.275899774","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1920, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"473","20.276774980","8e:81:44:a0:eb:1c","IPv4mcast_fb","802.11","218","-56dBm","5785MHz","6","Data, SN=1922, FN=0, Flags=.pm...F.C"
"474","20.277120004","8e:81:44:a0:eb:1c","IPv6mcast_fb","802.11","238","-58dBm","5785MHz","6","Data, SN=1923, FN=0, Flags=.p....F.C"
"475","20.378360289","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1924, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"477","20.480765029","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1926, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"479","20.583152494","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1928, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"481","20.685585939","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1930, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"484","20.787953564","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1932, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"486","20.890388434","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1934, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"490","20.992806849","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1937, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"492","20.993481255","8e:81:44:a0:eb:1c","IPv4mcast_02","802.11","110","-56dBm","5785MHz","6","Data, SN=1939, FN=0, Flags=.pm...F.C"
"493","20.993654393","8e:81:44:a0:eb:1c","IPv4mcast_fb","802.11","110","-56dBm","5785MHz","6","Data, SN=1940, FN=0, Flags=.p....F.C"
"495","21.095185437","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1941, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"498","21.197587439","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1943, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"502","21.300000135","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1947, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"504","21.300865839","8e:81:44:a0:eb:1c","IPv4mcast_fb","802.11","218","-57dBm","5785MHz","6","Data, SN=1949, FN=0, Flags=.pm...F.C"
