"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=346, FN=0, Flags=.p....F.C"
"3","0.001185269","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=348, FN=0, Flags=.p....F.C"
"6","0.002020188","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=350, FN=0, Flags=.p..R.F.C"
"7","0.002375782","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=351, FN=0, Flags=.p....F.C"
"9","0.003546128","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=353, FN=0, Flags=.p....F.C"
"13","0.004890334","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=355, FN=0, Flags=.p....F.C"
"25","0.032982773","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","761","-54dBm","QoS Data, SN=356, FN=0, Flags=.p....F.C"
"26","0.033458713","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","761","-54dBm","QoS Data, SN=356, FN=0, Flags=.p..R.F.C"
"27","0.033810226","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=357, FN=0, Flags=.p....F.C"
"28","0.034489543","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=358, FN=0, Flags=.p....F.C"
"29","0.034903626","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=359, FN=0, Flags=.p....F.C"
"30","0.035275360","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=360, FN=0, Flags=.p....F.C"
"32","0.036099706","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=361, FN=0, Flags=.p....F.C"
"33","0.036454131","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=362, FN=0, Flags=.p....F.C"
"34","0.037169731","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=363, FN=0, Flags=.p....F.C"
"43","0.043289524","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=364, FN=0, Flags=.p....F.C"
"45","0.045334948","e8:48:b8:da:df:46","Broadcast","802.11","452","-54dBm","Beacon frame, SN=2748, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
