"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-48dBm","QoS Data, SN=3138, FN=0, Flags=.p....F.C"
"2","0.010793050","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-48dBm","QoS Data, SN=3139, FN=0, Flags=.p....F.C"
"4","0.027514934","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-48dBm","QoS Data, SN=3140, FN=0, Flags=.p....F.C"
"6","0.033072963","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-48dBm","QoS Data, SN=3141, FN=0, Flags=.p....F.C"
"7","0.033970260","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3142, FN=0, Flags=.p....F.C"
"8","0.034664503","e8:48:b8:da:df:46","Broadcast","802.11","452","-48dBm","Beacon frame, SN=2404, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"12","0.036177355","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=3143, FN=0, Flags=.p....F.C"
"14","0.036724696","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3143, FN=0, Flags=.p..R.F.C"
"15","0.037162155","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3143, FN=0, Flags=.p..R.F.C"
"16","0.037841825","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3145, FN=0, Flags=.p....F.C"
"17","0.038091073","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3146, FN=0, Flags=.p....F.C"
"19","0.039728247","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3147, FN=0, Flags=.p....F.C"
"21","0.041412882","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3148, FN=0, Flags=.p....F.C"
"22","0.042907829","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3149, FN=0, Flags=.p....F.C"
"25","0.045372121","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=3150, FN=0, Flags=.p....F.C"
"26","0.046661769","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3151, FN=0, Flags=.p....F.C"
"29","0.048669365","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=3152, FN=0, Flags=.p....F.C"
"31","0.050456160","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3153, FN=0, Flags=.p....F.C"
"33","0.052087300","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3154, FN=0, Flags=.p....F.C"
"35","0.053702115","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3155, FN=0, Flags=.p....F.C"
"36","0.055155500","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3156, FN=0, Flags=.p....F.C"
"37","0.055642491","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3156, FN=0, Flags=.p..R.F.C"
"39","0.056658211","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=3157, FN=0, Flags=.p....F.C"
"42","0.058610517","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3158, FN=0, Flags=.p....F.C"
"43","0.060472305","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3159, FN=0, Flags=.p....F.C"
"44","0.060473093","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-48dBm","QoS Data, SN=3160, FN=0, Flags=.p....F.C"
"46","0.061341305","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=3161, FN=0, Flags=.p....F.C"
"47","0.061793525","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=3161, FN=0, Flags=.p..R.F.C"
