"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"4","0.003530885","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-48dBm","QoS Data, SN=691, FN=0, Flags=.p....F.C"
"6","0.016981316","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-48dBm","QoS Data, SN=692, FN=0, Flags=.p....F.C"
"9","0.048996336","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-48dBm","QoS Data, SN=693, FN=0, Flags=.p....F.C"
"10","0.050457860","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-48dBm","QoS Data, SN=694, FN=0, Flags=.p....F.C"
"11","0.050460396","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","175","-48dBm","QoS Data, SN=695, FN=0, Flags=.p....F.C"
"12","0.051004706","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-48dBm","QoS Data, SN=696, FN=0, Flags=.p....F.C"
"13","0.053180651","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-48dBm","QoS Data, SN=697, FN=0, Flags=.p....F.C"
"16","0.054945501","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-48dBm","QoS Data, SN=698, FN=0, Flags=.p....F.C"
"17","0.056733439","e8:48:b8:da:df:46","Broadcast","802.11","452","-47dBm","Beacon frame, SN=517, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"19","0.057715979","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-48dBm","QoS Data, SN=699, FN=0, Flags=.p....F.C"
"21","0.058936183","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-48dBm","QoS Data, SN=700, FN=0, Flags=.p....F.C"
"23","0.060440550","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-48dBm","QoS Data, SN=701, FN=0, Flags=.p....F.C"
"25","0.062132455","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-48dBm","QoS Data, SN=702, FN=0, Flags=.p....F.C"
"26","0.063892287","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-48dBm","QoS Data, SN=703, FN=0, Flags=.p....F.C"
"27","0.064429070","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-48dBm","QoS Data, SN=703, FN=0, Flags=.p..R.F.C"
"29","0.109590675","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=704, FN=0, Flags=.p....F.C"
"30","0.109594032","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-48dBm","QoS Data, SN=705, FN=0, Flags=.p....F.C"
"31","0.110174660","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=706, FN=0, Flags=.p....F.C"
"32","0.110667310","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=706, FN=0, Flags=.p..R.F.C"
"33","0.110670135","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-48dBm","QoS Data, SN=707, FN=0, Flags=.p....F.C"
"34","0.111246891","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=708, FN=0, Flags=.p....F.C"
"38","0.115290081","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=709, FN=0, Flags=.p....F.C"
"39","0.115415107","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-48dBm","QoS Data, SN=710, FN=0, Flags=.p....F.C"
"41","0.116858413","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","742","-48dBm","QoS Data, SN=711, FN=0, Flags=.p....F.C"
"43","0.129119448","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-48dBm","QoS Data, SN=712, FN=0, Flags=.p....F.C"
