"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"2","0.000729127","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-47dBm","QoS Data, SN=1479, FN=0, Flags=.p....F.C"
"8","0.005951493","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1480, FN=0, Flags=.p....F.C"
"9","0.006076217","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-48dBm","QoS Data, SN=1481, FN=0, Flags=.p....F.C"
"12","0.008553023","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-47dBm","QoS Data, SN=1482, FN=0, Flags=.p....F.C"
"14","0.009297092","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1484, FN=0, Flags=.p....F.C"
"15","0.009862049","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1484, FN=0, Flags=.p..R.F.C"
"16","0.011508694","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1485, FN=0, Flags=.p....F.C"
"17","0.012758375","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1486, FN=0, Flags=.p....F.C"
"19","0.014250922","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1487, FN=0, Flags=.p....F.C"
"20","0.014716434","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1487, FN=0, Flags=.p..R.F.C"
"21","0.015239313","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1487, FN=0, Flags=.p..R.F.C"
"23","0.016146408","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1488, FN=0, Flags=.p....F.C"
