"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-48dBm","QoS Data, SN=3744, FN=0, Flags=.p....F.C"
"3","0.009734381","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-48dBm","QoS Data, SN=3745, FN=0, Flags=.p....F.C"
"5","0.010652910","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-48dBm","QoS Data, SN=3747, FN=0, Flags=.p....F.C"
"12","0.014511673","e8:48:b8:da:df:46","Broadcast","802.11","452","-47dBm","Beacon frame, SN=553, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"15","0.015943878","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-48dBm","QoS Data, SN=3749, FN=0, Flags=.p....F.C"
"16","0.016467233","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-49dBm","QoS Data, SN=3749, FN=0, Flags=.p..R.F.C"
"17","0.017141031","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-48dBm","QoS Data, SN=3750, FN=0, Flags=.p....F.C"
"18","0.017748164","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-49dBm","QoS Data, SN=3750, FN=0, Flags=.p..R.F.C"
"21","0.019151750","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-48dBm","QoS Data, SN=3752, FN=0, Flags=.p....F.C"
"24","0.020237776","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-48dBm","QoS Data, SN=3755, FN=0, Flags=.p....F.C"
"31","0.030800375","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-48dBm","QoS Data, SN=3757, FN=0, Flags=.p....F.C"
"32","0.031396236","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-49dBm","QoS Data, SN=3757, FN=0, Flags=.p..R.F.C"
"34","0.031985543","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-49dBm","QoS Data, SN=3757, FN=0, Flags=.p..R.F.C"
"35","0.032542158","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-48dBm","QoS Data, SN=3759, FN=0, Flags=.p....F.C"
"43","0.040159043","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-48dBm","QoS Data, SN=3762, FN=0, Flags=.p....F.C"
