"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"2","0.001933692","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1127, FN=0, Flags=.p....F.C"
"4","0.004435613","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1128, FN=0, Flags=.p....F.C"
"5","0.006928199","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1129, FN=0, Flags=.p....F.C"
"8","0.008931583","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1130, FN=0, Flags=.p....F.C"
"10","0.011681001","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1131, FN=0, Flags=.p....F.C"
"12","0.014430911","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1132, FN=0, Flags=.p....F.C"
"14","0.016784529","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1133, FN=0, Flags=.p....F.C"
"16","0.019493216","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1134, FN=0, Flags=.p....F.C"
"18","0.023058813","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1135, FN=0, Flags=.p....F.C"
"20","0.026938077","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1136, FN=0, Flags=.p....F.C"
"22","0.032446371","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-47dBm","QoS Data, SN=1137, FN=0, Flags=.p....F.C"
"24","0.032910060","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-47dBm","QoS Data, SN=1139, FN=0, Flags=.p....F.C"
"25","0.034069106","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1140, FN=0, Flags=.p....F.C"
"29","0.038676966","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-47dBm","QoS Data, SN=1141, FN=0, Flags=.p....F.C"
