"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3231, FN=0, Flags=.p..R.F.C"
"2","0.001375001","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3233, FN=0, Flags=.p....F.C"
"3","0.001984819","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3234, FN=0, Flags=.p....F.C"
"4","0.002493619","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3234, FN=0, Flags=.p..R.F.C"
"9","0.007459649","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3236, FN=0, Flags=.p....F.C"
"10","0.007783966","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3237, FN=0, Flags=.p....F.C"
"11","0.008304436","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-55dBm","QoS Data, SN=3237, FN=0, Flags=.p..R.F.C"
"13","0.008822036","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3238, FN=0, Flags=.p..R.F.C"
"14","0.009408199","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3238, FN=0, Flags=.p..R.F.C"
"18","0.012957631","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3239, FN=0, Flags=.p....F.C"
"19","0.013284191","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3240, FN=0, Flags=.p....F.C"
"21","0.015944424","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3241, FN=0, Flags=.p....F.C"
"22","0.016472968","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3241, FN=0, Flags=.p..R.F.C"
"25","0.023574735","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3242, FN=0, Flags=.p....F.C"
"26","0.023958387","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3243, FN=0, Flags=.p....F.C"
"27","0.024444110","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3243, FN=0, Flags=.p..R.F.C"
"30","0.032301951","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3244, FN=0, Flags=.p....F.C"
"32","0.038040693","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3245, FN=0, Flags=.p....F.C"
"33","0.038553544","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3245, FN=0, Flags=.p..R.F.C"
"34","0.039014307","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3245, FN=0, Flags=.p..R.F.C"
"35","0.040747016","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3246, FN=0, Flags=.p....F.C"
"38","0.049062907","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3247, FN=0, Flags=.p....F.C"
"39","0.049208045","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=3248, FN=0, Flags=.p....F.C"
"42","0.054524846","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3249, FN=0, Flags=.p....F.C"
"43","0.055066703","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=3249, FN=0, Flags=.p..R.F.C"
"46","0.057163670","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1027","-54dBm","QoS Data, SN=3251, FN=0, Flags=.p....F.C"
"48","0.065337828","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=3252, FN=0, Flags=.p....F.C"
"50","0.088672003","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=3253, FN=0, Flags=.p....F.C"
"51","0.089026522","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=3254, FN=0, Flags=.p....F.C"
"52","0.089365957","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=3255, FN=0, Flags=.p....F.C"
"54","0.089965823","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-55dBm","QoS Data, SN=3256, FN=0, Flags=.p..R.F.C"
"58","0.094680898","e8:48:b8:da:df:46","Broadcast","802.11","452","-53dBm","Beacon frame, SN=625, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
