"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=1737, FN=0, Flags=.p....F.C"
"3","0.000836938","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-53dBm","QoS Data, SN=1739, FN=0, Flags=.p....F.C"
"9","0.002359571","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-51dBm","QoS Data, SN=1742, FN=0, Flags=.p..R.F.C"
"13","0.007533516","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=1745, FN=0, Flags=.p....F.C"
"15","0.013060513","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-54dBm","QoS Data, SN=1746, FN=0, Flags=.p....F.C"
"17","0.013627300","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-53dBm","QoS Data, SN=1748, FN=0, Flags=.p....F.C"
"19","0.014210644","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-53dBm","QoS Data, SN=1748, FN=0, Flags=.p..R.F.C"
"20","0.014775729","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=1748, FN=0, Flags=.p..R.F.C"
"24","0.021517765","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=1750, FN=0, Flags=.p....F.C"
"26","0.024265538","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=1752, FN=0, Flags=.p....F.C"
"28","0.025103649","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-53dBm","QoS Data, SN=1754, FN=0, Flags=.p....F.C"
"29","0.025104873","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-53dBm","QoS Data, SN=1755, FN=0, Flags=.p....F.C"
"32","0.026764164","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=1756, FN=0, Flags=.p....F.C"
"34","0.046023737","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","123","-54dBm","QoS Data, SN=1757, FN=0, Flags=.p....F.C"
"35","0.046474442","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=1758, FN=0, Flags=.p....F.C"
"41","0.050478890","e8:48:b8:da:df:46","Broadcast","802.11","452","-53dBm","Beacon frame, SN=3658, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"44","0.051685014","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=1760, FN=0, Flags=.p....F.C"
"45","0.068612142","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=1761, FN=0, Flags=.p....F.C"
"46","0.068728772","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=1762, FN=0, Flags=.p....F.C"
"47","0.070788526","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-54dBm","QoS Data, SN=1763, FN=0, Flags=.p....F.C"
