"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=345, FN=0, Flags=.p....F.C"
"5","0.002745094","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=346, FN=0, Flags=.p....F.C"
"6","0.003175496","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=347, FN=0, Flags=.p....F.C"
"13","0.006181883","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=348, FN=0, Flags=.p....F.C"
"16","0.016503096","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=349, FN=0, Flags=.p....F.C"
"17","0.016646092","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","189","-54dBm","QoS Data, SN=350, FN=0, Flags=.p....F.C"
"20","0.022181571","e8:48:b8:da:df:46","Broadcast","802.11","452","-53dBm","Beacon frame, SN=2200, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"23","0.024578683","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=351, FN=0, Flags=.p....F.C"
"25","0.027311848","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=352, FN=0, Flags=.p....F.C"
"26","0.027312735","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","147","-54dBm","QoS Data, SN=353, FN=0, Flags=.p....F.C"
"32","0.030716363","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=354, FN=0, Flags=.p....F.C"
"38","0.033871127","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=355, FN=0, Flags=.p....F.C"
"42","0.036162614","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=356, FN=0, Flags=.p....F.C"
"43","0.036164208","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=357, FN=0, Flags=.p....F.C"
"51","0.041217867","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=358, FN=0, Flags=.p....F.C"
"54","0.055443187","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=359, FN=0, Flags=.p....F.C"
"55","0.055796394","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=360, FN=0, Flags=.p....F.C"
"57","0.057836970","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=361, FN=0, Flags=.p....F.C"
