"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"8","0.001782188","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1929, FN=0, Flags=.p..R.F.C"
"14","0.003330925","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=1937, FN=0, Flags=.p....F.C"
"22","0.005335774","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1937, FN=0, Flags=.p..R.F.C"
"23","0.005804552","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1937, FN=0, Flags=.p..R.F.C"
"24","0.006577843","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-48dBm","QoS Data, SN=1937, FN=0, Flags=.p..R.F.C"
"25","0.006895977","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-53dBm","QoS Data, SN=1945, FN=0, Flags=.p....F.C"
"33","0.008912522","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-53dBm","QoS Data, SN=1945, FN=0, Flags=.p..R.F.C"
"37","0.009963777","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-53dBm","QoS Data, SN=1945, FN=0, Flags=.p..R.F.C"
"38","0.010846999","e8:48:b8:da:df:46","Broadcast","802.11","452","-50dBm","Beacon frame, SN=4018, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"40","0.012027617","e8:48:b8:da:df:48","Broadcast","802.11","434","-50dBm","Data, SN=4020, FN=0, Flags=.p....F.C"
"41","0.012755951","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-48dBm","QoS Data, SN=1945, FN=0, Flags=.p..R.F.C"
"42","0.013050269","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1953, FN=0, Flags=.p....F.C"
"50","0.015065187","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1956, FN=0, Flags=.p..R.F.C"
"56","0.016611961","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=1961, FN=0, Flags=.p..R.F.C"
"62","0.018205065","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1967, FN=0, Flags=.p..R.F.C"
"69","0.019942387","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1972, FN=0, Flags=.p..R.F.C"
"77","0.022152198","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=1972, FN=0, Flags=.p..R.F.C"
"85","0.024134261","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1977, FN=0, Flags=.p..R.F.C"
"92","0.025952241","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1980, FN=0, Flags=.p..R.F.C"
"101","0.028333640","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=1980, FN=0, Flags=.p..R.F.C"
"109","0.030353623","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1981, FN=0, Flags=.p..R.F.C"
