"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"2","0.010407010","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=1902, FN=0, Flags=.p....F.C"
"3","0.010945651","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=1902, FN=0, Flags=.p..R.F.C"
"5","0.015541561","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1903, FN=0, Flags=.p....F.C"
"7","0.021179719","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=1904, FN=0, Flags=.p....F.C"
"8","0.021332579","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1905, FN=0, Flags=.p....F.C"
"9","0.021477984","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-56dBm","QoS Data, SN=1906, FN=0, Flags=.p....F.C"
"10","0.021478930","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1907, FN=0, Flags=.p....F.C"
"11","0.023752492","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=1908, FN=0, Flags=.p....F.C"
"12","0.024463354","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=1908, FN=0, Flags=.p..R.F.C"
"15","0.031760585","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1909, FN=0, Flags=.p....F.C"
"16","0.031761528","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1910, FN=0, Flags=.p....F.C"
"17","0.032100104","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1909, FN=0, Flags=.p..R.F.C"
"18","0.032100746","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1910, FN=0, Flags=.p..R.F.C"
"19","0.034915209","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1911, FN=0, Flags=.p....F.C"
"20","0.034915980","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=1912, FN=0, Flags=.p....F.C"
"21","0.035365873","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1913, FN=0, Flags=.p....F.C"
"22","0.037205735","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1914, FN=0, Flags=.p....F.C"
"24","0.039991247","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1915, FN=0, Flags=.p....F.C"
"25","0.040366431","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1915, FN=0, Flags=.p..R.F.C"
"26","0.040506624","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1916, FN=0, Flags=.p....F.C"
"27","0.043038303","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1917, FN=0, Flags=.p....F.C"
"28","0.043316755","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1917, FN=0, Flags=.p..R.F.C"
"29","0.045820176","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1918, FN=0, Flags=.p....F.C"
"30","0.045823336","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1919, FN=0, Flags=.p....F.C"
"31","0.046104892","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1918, FN=0, Flags=.p..R.F.C"
"32","0.046107164","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1919, FN=0, Flags=.p..R.F.C"
"33","0.046773193","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=1920, FN=0, Flags=.p....F.C"
"34","0.048477351","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=1921, FN=0, Flags=.p....F.C"
"36","0.050832610","e8:48:b8:da:df:46","Broadcast","802.11","452","-49dBm","Beacon frame, SN=3216, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"38","0.051683511","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1922, FN=0, Flags=.p....F.C"
"39","0.051722217","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=1923, FN=0, Flags=.p....F.C"
"41","0.053029237","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1924, FN=0, Flags=.p....F.C"
"42","0.053834721","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1925, FN=0, Flags=.p....F.C"
"43","0.056919982","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1926, FN=0, Flags=.p....F.C"
"44","0.057049814","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1927, FN=0, Flags=.p....F.C"
"45","0.060103099","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=1928, FN=0, Flags=.p....F.C"
"46","0.060105957","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1929, FN=0, Flags=.p....F.C"
"47","0.062513559","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1930, FN=0, Flags=.p....F.C"
"48","0.062850348","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1930, FN=0, Flags=.p..R.F.C"
"49","0.065266857","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1931, FN=0, Flags=.p....F.C"
"50","0.067743160","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1932, FN=0, Flags=.p....F.C"
"51","0.068000173","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1932, FN=0, Flags=.p..R.F.C"
"52","0.068125461","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=1933, FN=0, Flags=.p....F.C"
"53","0.068482085","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=1933, FN=0, Flags=.p..R.F.C"
"54","0.068755967","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=1933, FN=0, Flags=.p..R.F.C"
"55","0.070513743","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1934, FN=0, Flags=.p....F.C"
"56","0.073270050","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=1935, FN=0, Flags=.p....F.C"
"58","0.075998929","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1936, FN=0, Flags=.p....F.C"
"59","0.078962212","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-54dBm","QoS Data, SN=1937, FN=0, Flags=.p....F.C"
"60","0.081777755","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=1938, FN=0, Flags=.p....F.C"
"61","0.081780576","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=1939, FN=0, Flags=.p....F.C"
"62","0.082093016","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1940, FN=0, Flags=.p....F.C"
"63","0.084266868","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=1941, FN=0, Flags=.p....F.C"
"64","0.084269792","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1942, FN=0, Flags=.p....F.C"
"65","0.084533500","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=1941, FN=0, Flags=.p..R.F.C"
"66","0.084535168","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1942, FN=0, Flags=.p..R.F.C"
"68","0.086970680","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1943, FN=0, Flags=.p....F.C"
"69","0.087472456","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1943, FN=0, Flags=.p..R.F.C"
"70","0.087859996","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1943, FN=0, Flags=.p..R.F.C"
"72","0.089744522","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=1944, FN=0, Flags=.p....F.C"
"73","0.089746658","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1945, FN=0, Flags=.p....F.C"
"74","0.090101167","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=1946, FN=0, Flags=.p....F.C"
"75","0.090103100","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-55dBm","QoS Data, SN=1947, FN=0, Flags=.p....F.C"
"76","0.090104553","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=1948, FN=0, Flags=.p....F.C"
"79","0.093994000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1949, FN=0, Flags=.p....F.C"
"80","0.093997355","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1950, FN=0, Flags=.p....F.C"
"81","0.095284936","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1951, FN=0, Flags=.p....F.C"
"82","0.098630393","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=1952, FN=0, Flags=.p....F.C"
"83","0.100943743","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=1953, FN=0, Flags=.p....F.C"
"84","0.101066461","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=1954, FN=0, Flags=.p....F.C"
"85","0.101314122","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=1954, FN=0, Flags=.p..R.F.C"
"86","0.101552607","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=1954, FN=0, Flags=.p..R.F.C"
"88","0.103913402","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1955, FN=0, Flags=.p....F.C"
"89","0.109189938","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=1956, FN=0, Flags=.p....F.C"
"90","0.109325686","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=1957, FN=0, Flags=.p....F.C"
"91","0.111939072","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1958, FN=0, Flags=.p....F.C"
"92","0.112097419","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1959, FN=0, Flags=.p....F.C"
"94","0.122802240","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1960, FN=0, Flags=.p....F.C"
"95","0.122865541","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=1961, FN=0, Flags=.p....F.C"
"96","0.122995603","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1962, FN=0, Flags=.p....F.C"
"97","0.125469264","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1963, FN=0, Flags=.p....F.C"
"98","0.125659971","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=1964, FN=0, Flags=.p....F.C"
"99","0.126009150","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=1964, FN=0, Flags=.p..R.F.C"
"100","0.128515911","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1965, FN=0, Flags=.p....F.C"
"102","0.131273031","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-56dBm","QoS Data, SN=1966, FN=0, Flags=.p....F.C"
"103","0.136516826","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1967, FN=0, Flags=.p....F.C"
"104","0.139306226","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1968, FN=0, Flags=.p....F.C"
"105","0.139308095","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","163","-55dBm","QoS Data, SN=1969, FN=0, Flags=.p....F.C"
"106","0.140090873","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-55dBm","QoS Data, SN=1970, FN=0, Flags=.p....F.C"
"107","0.140092768","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=1971, FN=0, Flags=.p....F.C"
