"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-49dBm","QoS Data, SN=1816, FN=0, Flags=.p....F.C"
"3","0.001778884","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=1817, FN=0, Flags=.p....F.C"
"5","0.002434152","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=1819, FN=0, Flags=.p....F.C"
"7","0.004735407","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-49dBm","QoS Data, SN=1820, FN=0, Flags=.p....F.C"
"8","0.005180156","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=1821, FN=0, Flags=.p....F.C"
"9","0.005625171","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-53dBm","QoS Data, SN=1822, FN=0, Flags=.p....F.C"
"12","0.007257164","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-49dBm","QoS Data, SN=1823, FN=0, Flags=.p....F.C"
"13","0.007590878","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-49dBm","QoS Data, SN=1824, FN=0, Flags=.p....F.C"
"16","0.010030060","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-52dBm","QoS Data, SN=1825, FN=0, Flags=.p....F.C"
"18","0.010866545","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-52dBm","QoS Data, SN=1827, FN=0, Flags=.p....F.C"
"23","0.018192509","e8:48:b8:da:df:46","Broadcast","802.11","452","-48dBm","Beacon frame, SN=687, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"25","0.020952736","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-52dBm","QoS Data, SN=1830, FN=0, Flags=.p....F.C"
"27","0.026588142","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-50dBm","QoS Data, SN=1831, FN=0, Flags=.p....F.C"
"28","0.027270417","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-52dBm","QoS Data, SN=1831, FN=0, Flags=.p..R.F.C"
"30","0.059287680","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-49dBm","QoS Data, SN=1832, FN=0, Flags=.p....F.C"
"31","0.070924299","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-53dBm","QoS Data, SN=1833, FN=0, Flags=.p....F.C"
"33","0.071757250","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","647","-50dBm","QoS Data, SN=1835, FN=0, Flags=.p....F.C"
"35","0.073338906","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-53dBm","QoS Data, SN=1836, FN=0, Flags=.p....F.C"
"37","0.076685835","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=1837, FN=0, Flags=.p....F.C"
"39","0.078932416","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=1838, FN=0, Flags=.p....F.C"
"41","0.081571936","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=1839, FN=0, Flags=.p....F.C"
"44","0.084531141","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=1841, FN=0, Flags=.p....F.C"
"45","0.084659305","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=1842, FN=0, Flags=.p....F.C"
"46","0.084904573","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=1842, FN=0, Flags=.p..R.F.C"
"48","0.086850006","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=1843, FN=0, Flags=.p....F.C"
"49","0.090082122","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-52dBm","QoS Data, SN=1844, FN=0, Flags=.p....F.C"
"51","0.093079471","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=1845, FN=0, Flags=.p....F.C"
