"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"4","0.012141909","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","65","QoS Data, SN=1879, FN=0, Flags=.p....F.C"
"5","0.014446288","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-61dBm","5785MHz","43.3333","QoS Data, SN=1880, FN=0, Flags=.p..R.F.C"
"8","0.023161346","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-62dBm","5785MHz","65","QoS Data, SN=1882, FN=0, Flags=.p....F.C"
"14","0.057869405","e8:48:b8:da:df:46","Broadcast","802.11","452","-61dBm","5785MHz","6","Beacon frame, SN=4076, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"16","0.059410054","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-62dBm","5785MHz","65","QoS Data, SN=1890, FN=0, Flags=.p....F.C"
"23","0.080420877","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-61dBm","5785MHz","43.3333","QoS Data, SN=1899, FN=0, Flags=.p..R.F.C"
"25","0.084199736","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","65","QoS Data, SN=1901, FN=0, Flags=.p....F.C"
"27","0.085980603","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","43.3333","QoS Data, SN=1901, FN=0, Flags=.p..R.F.C"
"28","0.086729077","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","28.8889","QoS Data, SN=1901, FN=0, Flags=.p..R.F.C"
"29","0.087044581","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","5785MHz","65","QoS Data, SN=1903, FN=0, Flags=.p....F.C"
"32","0.089622175","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","65","QoS Data, SN=1905, FN=0, Flags=.p....F.C"
"35","0.095352826","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","65","QoS Data, SN=1909, FN=0, Flags=.p....F.C"
"38","0.109083391","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-61dBm","5785MHz","43.3333","QoS Data, SN=1910, FN=0, Flags=.p..R.F.C"
"39","0.116260902","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","43.3333","QoS Data, SN=1912, FN=0, Flags=.p..R.F.C"
"46","0.144619067","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-63dBm","5785MHz","65","QoS Data, SN=1924, FN=0, Flags=.p....F.C"
"47","0.145277278","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-63dBm","5785MHz","65","QoS Data, SN=1924, FN=0, Flags=.p..R.F.C"
"49","0.158700295","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1927, FN=0, Flags=.p....F.C"
"50","0.160264345","e8:48:b8:da:df:46","Broadcast","802.11","452","-62dBm","5785MHz","6","Beacon frame, SN=4078, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"53","0.164968230","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1930, FN=0, Flags=.p..R.F.C"
"54","0.166333387","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","28.8889","QoS Data, SN=1930, FN=0, Flags=.p..R.F.C"
"56","0.180662321","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1931, FN=0, Flags=.p....F.C"
"57","0.181011115","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1932, FN=0, Flags=.p....F.C"
"60","0.188888195","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1934, FN=0, Flags=.p....F.C"
"61","0.189691852","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1935, FN=0, Flags=.p....F.C"
"63","0.190604397","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1937, FN=0, Flags=.p....F.C"
"67","0.198365175","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1939, FN=0, Flags=.p....F.C"
"69","0.205674816","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=1940, FN=0, Flags=.p....F.C"
"72","0.213805691","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1942, FN=0, Flags=.p....F.C"
"74","0.216083571","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","191","-62dBm","5785MHz","57.7778","QoS Data, SN=1943, FN=0, Flags=.p....F.C"
"75","0.216410136","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","191","-62dBm","5785MHz","57.7778","QoS Data, SN=1943, FN=0, Flags=.p..R.F.C"
"76","0.222015786","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1944, FN=0, Flags=.p....F.C"
"77","0.230277212","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","5785MHz","57.7778","QoS Data, SN=1945, FN=0, Flags=.p....F.C"
"78","0.238533831","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1946, FN=0, Flags=.p....F.C"
"80","0.246794540","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=1947, FN=0, Flags=.p....F.C"
"81","0.247167545","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1948, FN=0, Flags=.p....F.C"
"83","0.262679105","e8:48:b8:da:df:46","Broadcast","802.11","452","-62dBm","5785MHz","6","Beacon frame, SN=4080, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"85","0.268825674","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1949, FN=0, Flags=.p....F.C"
"87","0.291061831","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1950, FN=0, Flags=.p....F.C"
"88","0.296224631","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1951, FN=0, Flags=.p....F.C"
"90","0.307177983","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=1952, FN=0, Flags=.p....F.C"
"96","0.332172122","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1957, FN=0, Flags=.p....F.C"
"98","0.337412480","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1958, FN=0, Flags=.p....F.C"
"99","0.339916884","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=1959, FN=0, Flags=.p....F.C"
"101","0.357205477","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1960, FN=0, Flags=.p....F.C"
"103","0.365063181","e8:48:b8:da:df:46","Broadcast","802.11","452","-62dBm","5785MHz","6","Beacon frame, SN=4082, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"105","0.370929810","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1961, FN=0, Flags=.p....F.C"
"106","0.372140318","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-63dBm","5785MHz","57.7778","QoS Data, SN=1962, FN=0, Flags=.p..R.F.C"
"108","0.378442285","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=1963, FN=0, Flags=.p....F.C"
"110","0.379553309","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=1963, FN=0, Flags=.p..R.F.C"
"111","0.380120949","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=1963, FN=0, Flags=.p..R.F.C"
"112","0.381158248","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1965, FN=0, Flags=.p....F.C"
"113","0.381630265","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1965, FN=0, Flags=.p..R.F.C"
"116","0.386911467","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1967, FN=0, Flags=.p....F.C"
"117","0.387430972","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1967, FN=0, Flags=.p..R.F.C"
"119","0.392652097","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1968, FN=0, Flags=.p....F.C"
"120","0.393170653","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1968, FN=0, Flags=.p..R.F.C"
"121","0.394873326","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=1969, FN=0, Flags=.p....F.C"
"124","0.408682275","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=1972, FN=0, Flags=.p....F.C"
"126","0.411648280","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1973, FN=0, Flags=.p....F.C"
"127","0.417408205","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1974, FN=0, Flags=.p....F.C"
"130","0.431404295","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1978, FN=0, Flags=.p....F.C"
"132","0.450419643","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1979, FN=0, Flags=.p....F.C"
"134","0.464206182","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-62dBm","5785MHz","57.7778","QoS Data, SN=1982, FN=0, Flags=.p....F.C"
"135","0.464886987","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=1984, FN=0, Flags=.p....F.C"
"136","0.467474045","e8:48:b8:da:df:46","Broadcast","802.11","452","-62dBm","5785MHz","6","Beacon frame, SN=4084, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"142","0.469620735","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1985, FN=0, Flags=.p....F.C"
"143","0.472158690","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1986, FN=0, Flags=.p....F.C"
"145","0.475158192","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1988, FN=0, Flags=.p....F.C"
"146","0.490341808","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1990, FN=0, Flags=.p....F.C"
"148","0.494454351","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1991, FN=0, Flags=.p....F.C"
"149","0.497165630","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1993, FN=0, Flags=.p....F.C"
"151","0.499856168","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-62dBm","5785MHz","57.7778","QoS Data, SN=1995, FN=0, Flags=.p....F.C"
"153","0.502777442","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1996, FN=0, Flags=.p....F.C"
"156","0.508177710","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1997, FN=0, Flags=.p....F.C"
"158","0.513656741","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=1998, FN=0, Flags=.p....F.C"
"160","0.516177421","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=2000, FN=0, Flags=.p....F.C"
"161","0.517287768","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2001, FN=0, Flags=.p..R.F.C"
"169","0.541175451","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=2003, FN=0, Flags=.p....F.C"
"171","0.552164672","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2005, FN=0, Flags=.p....F.C"
"174","0.557654939","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2006, FN=0, Flags=.p....F.C"
"175","0.568709875","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2007, FN=0, Flags=.p....F.C"
"176","0.569908040","e8:48:b8:da:df:46","Broadcast","802.11","452","-62dBm","5785MHz","6","Beacon frame, SN=4086, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"180","0.582456170","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2009, FN=0, Flags=.p....F.C"
"182","0.585598047","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2010, FN=0, Flags=.p....F.C"
"184","0.610199322","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2012, FN=0, Flags=.p....F.C"
"185","0.613187990","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2013, FN=0, Flags=.p....F.C"
"187","0.618466651","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2014, FN=0, Flags=.p....F.C"
"193","0.653959214","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-62dBm","5785MHz","57.7778","QoS Data, SN=2021, FN=0, Flags=.p....F.C"
"194","0.657207964","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2022, FN=0, Flags=.p..R.F.C"
"196","0.659427310","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=2023, FN=0, Flags=.p....F.C"
"198","0.664998139","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","858","-62dBm","5785MHz","57.7778","QoS Data, SN=2024, FN=0, Flags=.p....F.C"
"201","0.672300461","e8:48:b8:da:df:46","Broadcast","802.11","452","-62dBm","5785MHz","6","Beacon frame, SN=4088, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"203","0.675991196","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","5785MHz","57.7778","QoS Data, SN=2027, FN=0, Flags=.p....F.C"
"204","0.676630429","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2028, FN=0, Flags=.p....F.C"
"205","0.677159491","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2028, FN=0, Flags=.p..R.F.C"
"206","0.685249823","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2029, FN=0, Flags=.p..R.F.C"
"208","0.687371057","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=2030, FN=0, Flags=.p....F.C"
"210","0.693118610","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2031, FN=0, Flags=.p....F.C"
"211","0.701124767","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2032, FN=0, Flags=.p....F.C"
"213","0.711797472","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=2033, FN=0, Flags=.p....F.C"
"215","0.714198513","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-62dBm","5785MHz","57.7778","QoS Data, SN=2035, FN=0, Flags=.p....F.C"
"217","0.717428863","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2036, FN=0, Flags=.p....F.C"
"219","0.727959584","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-62dBm","5785MHz","57.7778","QoS Data, SN=2037, FN=0, Flags=.p....F.C"
"220","0.727962567","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=2038, FN=0, Flags=.p....F.C"
"223","0.747913641","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2042, FN=0, Flags=.p....F.C"
"225","0.753697824","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2043, FN=0, Flags=.p....F.C"
"226","0.758692600","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2044, FN=0, Flags=.p....F.C"
"228","0.764494567","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2045, FN=0, Flags=.p....F.C"
"229","0.766682317","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=2046, FN=0, Flags=.p....F.C"
"231","0.774661008","e8:48:b8:da:df:46","Broadcast","802.11","452","-61dBm","5785MHz","6","Beacon frame, SN=4090, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"233","0.775650881","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2047, FN=0, Flags=.p....F.C"
"234","0.776677481","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2047, FN=0, Flags=.p..R.F.C"
"236","0.783708018","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2049, FN=0, Flags=.p....F.C"
"238","0.794425012","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2051, FN=0, Flags=.p....F.C"
"239","0.794766690","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2052, FN=0, Flags=.p....F.C"
"241","0.799910244","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2053, FN=0, Flags=.p....F.C"
"242","0.800431426","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2053, FN=0, Flags=.p..R.F.C"
"244","0.808307847","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2055, FN=0, Flags=.p....F.C"
"245","0.819096740","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","191","-62dBm","5785MHz","57.7778","QoS Data, SN=2056, FN=0, Flags=.p....F.C"
"247","0.819702909","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","191","-62dBm","5785MHz","57.7778","QoS Data, SN=2056, FN=0, Flags=.p..R.F.C"
"250","0.824920786","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2059, FN=0, Flags=.p....F.C"
"253","0.857691188","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2063, FN=0, Flags=.p....F.C"
"256","0.877067482","e8:48:b8:da:df:46","Broadcast","802.11","452","-62dBm","5785MHz","6","Beacon frame, SN=4092, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"258","0.877988006","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=2066, FN=0, Flags=.p....F.C"
"259","0.877991833","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=2067, FN=0, Flags=.p....F.C"
"261","0.880181989","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2068, FN=0, Flags=.p....F.C"
"263","0.885166407","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2069, FN=0, Flags=.p....F.C"
"264","0.890659393","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2070, FN=0, Flags=.p....F.C"
"266","0.906922015","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=2073, FN=0, Flags=.p....F.C"
"267","0.907212584","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=2073, FN=0, Flags=.p..R.F.C"
"268","0.908680099","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","5785MHz","57.7778","QoS Data, SN=2073, FN=0, Flags=.p..R.F.C"
"269","0.909049617","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-60dBm","5785MHz","28.8889","QoS Data, SN=2073, FN=0, Flags=.p..R.F.C"
"272","0.912922083","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2075, FN=0, Flags=.p....F.C"
"274","0.918166019","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2076, FN=0, Flags=.p....F.C"
"275","0.918765282","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2076, FN=0, Flags=.p..R.F.C"
"277","0.926656888","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","57.7778","QoS Data, SN=2078, FN=0, Flags=.p....F.C"
