"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"9","0.003619773","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","65","QoS Data, SN=654, FN=0, Flags=.p..R.F.C"
"12","0.005011732","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-61dBm","5785MHz","65","QoS Data, SN=662, FN=0, Flags=.p....F.C"
"20","0.006819933","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","65","QoS Data, SN=666, FN=0, Flags=.p..R.F.C"
"31","0.010256836","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-61dBm","5785MHz","65","QoS Data, SN=666, FN=0, Flags=.p..R.F.C"
"36","0.011862721","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-61dBm","5785MHz","65","QoS Data, SN=667, FN=0, Flags=.p..R.F.C"
"42","0.013751476","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-62dBm","5785MHz","65","QoS Data, SN=667, FN=0, Flags=.p..R.F.C"
"43","0.014426408","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-59dBm","5785MHz","43.3333","QoS Data, SN=667, FN=0, Flags=.p..R.F.C"
"55","0.015574437","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=679, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"73","0.023285335","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","65","QoS Data, SN=686, FN=0, Flags=.p....F.C"
"76","0.024024431","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-61dBm","5785MHz","65","QoS Data, SN=688, FN=0, Flags=.p..R.F.C"
"77","0.024547819","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-61dBm","5785MHz","65","QoS Data, SN=688, FN=0, Flags=.p..R.F.C"
"79","0.025916336","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-59dBm","5785MHz","43.3333","QoS Data, SN=688, FN=0, Flags=.p..R.F.C"
"85","0.029213220","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","65","QoS Data, SN=689, FN=0, Flags=.p....F.C"
"86","0.029584814","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","65","QoS Data, SN=690, FN=0, Flags=.p....F.C"
