"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"3","0.000728451","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-57dBm","QoS Data, SN=2668, FN=0, Flags=.p....F.C"
"6","0.002754286","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-57dBm","QoS Data, SN=2669, FN=0, Flags=.p....F.C"
"9","0.014859996","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-57dBm","QoS Data, SN=2670, FN=0, Flags=.p....F.C"
"11","0.023676778","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-57dBm","QoS Data, SN=2672, FN=0, Flags=.p....F.C"
"12","0.024163843","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-58dBm","QoS Data, SN=2672, FN=0, Flags=.p..R.F.C"
"13","0.029682747","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-57dBm","QoS Data, SN=2673, FN=0, Flags=.p....F.C"
"15","0.032670331","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-57dBm","QoS Data, SN=2674, FN=0, Flags=.p....F.C"
"16","0.033735509","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-57dBm","QoS Data, SN=2675, FN=0, Flags=.p....F.C"
"18","0.034628861","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-57dBm","QoS Data, SN=2676, FN=0, Flags=.p....F.C"
"20","0.036938310","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-57dBm","QoS Data, SN=2677, FN=0, Flags=.p....F.C"
"24","0.052587579","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","744","-57dBm","QoS Data, SN=2678, FN=0, Flags=.p....F.C"
"26","0.058233493","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-57dBm","QoS Data, SN=2679, FN=0, Flags=.p....F.C"
