"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=2549, FN=0, Flags=.p....F.C"
"3","0.022828838","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=2550, FN=0, Flags=.p....F.C"
"4","0.024772219","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=2551, FN=0, Flags=.p....F.C"
"5","0.025124245","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=2552, FN=0, Flags=.p....F.C"
"6","0.025472292","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=2553, FN=0, Flags=.p....F.C"
"9","0.026462714","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=2553, FN=0, Flags=.p..R.F.C"
"12","0.027512058","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=2553, FN=0, Flags=.p..R.F.C"
"18","0.040760694","e8:48:b8:da:df:46","Broadcast","802.11","452","-48dBm","Beacon frame, SN=2017, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"20","0.047973470","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=2556, FN=0, Flags=.p....F.C"
"22","0.048823703","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=2558, FN=0, Flags=.p....F.C"
"33","0.064058580","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-53dBm","QoS Data, SN=2560, FN=0, Flags=.p....F.C"
"34","0.065740977","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=2561, FN=0, Flags=.p....F.C"
"35","0.065743068","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=2562, FN=0, Flags=.p....F.C"
"38","0.143162129","e8:48:b8:da:df:46","Broadcast","802.11","452","-48dBm","Beacon frame, SN=2019, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"41","0.160007986","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=2563, FN=0, Flags=.p....F.C"
"43","0.161697095","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","205","-51dBm","QoS Data, SN=2564, FN=0, Flags=.p....F.C"
"44","0.161918456","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","205","-51dBm","QoS Data, SN=2564, FN=0, Flags=.p..R.F.C"
"48","0.215755673","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=2565, FN=0, Flags=.p....F.C"
"49","0.221751252","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=2566, FN=0, Flags=.p....F.C"
"51","0.230987561","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-52dBm","QoS Data, SN=2567, FN=0, Flags=.p....F.C"
"52","0.235233503","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=2568, FN=0, Flags=.p....F.C"
"53","0.245557339","e8:48:b8:da:df:46","Broadcast","802.11","452","-48dBm","Beacon frame, SN=2021, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"55","0.250747096","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","131","-52dBm","QoS Data, SN=2569, FN=0, Flags=.p....F.C"
"56","0.262996284","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=2570, FN=0, Flags=.p....F.C"
"57","0.272737366","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-52dBm","QoS Data, SN=2571, FN=0, Flags=.p....F.C"
"59","0.291035712","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","205","-49dBm","QoS Data, SN=2572, FN=0, Flags=.p....F.C"
"60","0.291996413","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","187","-49dBm","QoS Data, SN=2573, FN=0, Flags=.p....F.C"
"62","0.324338657","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=2574, FN=0, Flags=.p....F.C"
