"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"2","0.004006930","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-51dBm","QoS Data, SN=2085, FN=0, Flags=.p....F.C"
"3","0.004314873","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=2086, FN=0, Flags=.p....F.C"
"4","0.004641054","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=2087, FN=0, Flags=.p....F.C"
"8","0.012213915","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=2089, FN=0, Flags=.p....F.C"
"9","0.026278556","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-54dBm","QoS Data, SN=2090, FN=0, Flags=.p....F.C"
"10","0.026464564","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-54dBm","QoS Data, SN=2091, FN=0, Flags=.p....F.C"
"12","0.031168291","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=2092, FN=0, Flags=.p....F.C"
"13","0.031495686","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=2093, FN=0, Flags=.p....F.C"
"14","0.033684565","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","321","-54dBm","QoS Data, SN=2094, FN=0, Flags=.p....F.C"
"17","0.036394325","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-51dBm","QoS Data, SN=2095, FN=0, Flags=.p....F.C"
"18","0.042081161","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-53dBm","QoS Data, SN=2096, FN=0, Flags=.p....F.C"
"19","0.042608236","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=2096, FN=0, Flags=.p..R.F.C"
"22","0.044650799","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-51dBm","QoS Data, SN=2098, FN=0, Flags=.p....F.C"
"26","0.047973089","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=2100, FN=0, Flags=.p....F.C"
"28","0.048726673","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=2100, FN=0, Flags=.p..R.F.C"
"32","0.050337820","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=2102, FN=0, Flags=.p....F.C"
"33","0.050600448","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=2103, FN=0, Flags=.p....F.C"
"34","0.051452744","e8:48:b8:da:df:46","Broadcast","802.11","452","-48dBm","Beacon frame, SN=3151, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"37","0.053222907","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=2104, FN=0, Flags=.p....F.C"
"38","0.053728116","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=2104, FN=0, Flags=.p..R.F.C"
"40","0.055953888","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-54dBm","QoS Data, SN=2105, FN=0, Flags=.p....F.C"
"46","0.062319741","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=2106, FN=0, Flags=.p....F.C"
"47","0.069890709","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=2107, FN=0, Flags=.p....F.C"
"48","0.070209413","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=2108, FN=0, Flags=.p....F.C"
"50","0.075903657","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=2109, FN=0, Flags=.p....F.C"
"52","0.078120207","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=2111, FN=0, Flags=.p....F.C"
"55","0.080580055","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=2112, FN=0, Flags=.p....F.C"
"57","0.081134779","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=2114, FN=0, Flags=.p....F.C"
"62","0.086631324","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=2115, FN=0, Flags=.p....F.C"
"64","0.089134747","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=2116, FN=0, Flags=.p....F.C"
"66","0.090515447","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=2116, FN=0, Flags=.p..R.F.C"
"68","0.091331730","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=2118, FN=0, Flags=.p....F.C"
"74","0.105108380","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-53dBm","QoS Data, SN=2121, FN=0, Flags=.p....F.C"
"75","0.111434836","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-51dBm","QoS Data, SN=2122, FN=0, Flags=.p....F.C"
"77","0.115855127","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=2123, FN=0, Flags=.p....F.C"
"78","0.116254907","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=2123, FN=0, Flags=.p..R.F.C"
"79","0.117610259","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=2124, FN=0, Flags=.p....F.C"
"80","0.117931564","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=2125, FN=0, Flags=.p....F.C"
"81","0.118258715","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=2126, FN=0, Flags=.p....F.C"
"83","0.119352924","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=2127, FN=0, Flags=.p....F.C"
"84","0.120862276","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=2128, FN=0, Flags=.p....F.C"
"89","0.122502997","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=2129, FN=0, Flags=.p....F.C"
"90","0.122825867","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=2130, FN=0, Flags=.p....F.C"
"91","0.123153907","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=2131, FN=0, Flags=.p....F.C"
"93","0.124020607","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=2132, FN=0, Flags=.p....F.C"
"94","0.124833191","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=2133, FN=0, Flags=.p....F.C"
"96","0.125601227","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=2135, FN=0, Flags=.p....F.C"
"97","0.125881473","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=2136, FN=0, Flags=.p....F.C"
