"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"10","0.012481342","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=3350, FN=0, Flags=.p....F.C"
"28","0.032009715","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-56dBm","QoS Data, SN=3351, FN=0, Flags=.p....F.C"
"31","0.033799642","e8:48:b8:da:df:46","Broadcast","802.11","452","-53dBm","Beacon frame, SN=2090, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"34","0.035839139","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-56dBm","QoS Data, SN=3351, FN=0, Flags=.p..R.F.C"
"35","0.035839877","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=3352, FN=0, Flags=.p....F.C"
"36","0.036125374","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=3353, FN=0, Flags=.p....F.C"
"44","0.041125223","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-55dBm","QoS Data, SN=3354, FN=0, Flags=.p....F.C"
"55","0.052092056","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-56dBm","QoS Data, SN=3355, FN=0, Flags=.p....F.C"
"56","0.052652449","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-56dBm","QoS Data, SN=3355, FN=0, Flags=.p..R.F.C"
"58","0.054002604","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-56dBm","QoS Data, SN=3356, FN=0, Flags=.p....F.C"
"65","0.062390899","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-56dBm","QoS Data, SN=3357, FN=0, Flags=.p....F.C"
"67","0.064696340","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=3358, FN=0, Flags=.p....F.C"
"68","0.065376094","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=3359, FN=0, Flags=.p....F.C"
"70","0.067459024","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-56dBm","QoS Data, SN=3360, FN=0, Flags=.p....F.C"
"71","0.067813909","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-56dBm","QoS Data, SN=3360, FN=0, Flags=.p..R.F.C"
"73","0.089936449","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=3361, FN=0, Flags=.p....F.C"
"75","0.099762571","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=3362, FN=0, Flags=.p....F.C"
"76","0.100021163","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=3362, FN=0, Flags=.p..R.F.C"
"77","0.100557319","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=3362, FN=0, Flags=.p..R.F.C"
"79","0.103595745","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=3363, FN=0, Flags=.p....F.C"
"82","0.106379490","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=3364, FN=0, Flags=.p....F.C"
"83","0.106498689","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=3365, FN=0, Flags=.p....F.C"
"84","0.106804636","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=3365, FN=0, Flags=.p..R.F.C"
"87","0.109020893","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","187","-55dBm","QoS Data, SN=3366, FN=0, Flags=.p....F.C"
"88","0.109159265","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=3367, FN=0, Flags=.p....F.C"
"90","0.112519442","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-55dBm","QoS Data, SN=3368, FN=0, Flags=.p....F.C"
"92","0.113535376","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-55dBm","QoS Data, SN=3368, FN=0, Flags=.p..R.F.C"
"94","0.114553603","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-56dBm","QoS Data, SN=3368, FN=0, Flags=.p..R.F.C"
"96","0.115109960","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","159","-55dBm","QoS Data, SN=3370, FN=0, Flags=.p....F.C"
"98","0.117190176","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=3371, FN=0, Flags=.p....F.C"
"100","0.120801859","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-55dBm","QoS Data, SN=3372, FN=0, Flags=.p....F.C"
"102","0.122692135","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","187","-55dBm","QoS Data, SN=3373, FN=0, Flags=.p....F.C"
"104","0.131445449","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-55dBm","QoS Data, SN=3374, FN=0, Flags=.p....F.C"
"106","0.135959684","e8:48:b8:da:df:46","Broadcast","802.11","452","-50dBm","Beacon frame, SN=2092, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"108","0.139208066","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=3375, FN=0, Flags=.p....F.C"
"110","0.142256734","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-55dBm","QoS Data, SN=3376, FN=0, Flags=.p....F.C"
"112","0.150755771","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-55dBm","QoS Data, SN=3377, FN=0, Flags=.p....F.C"
"113","0.150756840","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=3378, FN=0, Flags=.p....F.C"
"114","0.151241100","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-56dBm","QoS Data, SN=3377, FN=0, Flags=.p..R.F.C"
"115","0.151241981","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-56dBm","QoS Data, SN=3378, FN=0, Flags=.p..R.F.C"
"116","0.151567250","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-56dBm","QoS Data, SN=3377, FN=0, Flags=.p..R.F.C"
"117","0.152165630","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-51dBm","QoS Data, SN=3377, FN=0, Flags=.p..R.F.C"
"118","0.152935009","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-52dBm","QoS Data, SN=3377, FN=0, Flags=.p..R.F.C"
"122","0.166750844","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=3379, FN=0, Flags=.p....F.C"
"124","0.172482383","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-56dBm","QoS Data, SN=3380, FN=0, Flags=.p....F.C"
"125","0.172484068","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","161","-56dBm","QoS Data, SN=3381, FN=0, Flags=.p....F.C"
"130","0.181044623","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-55dBm","QoS Data, SN=3382, FN=0, Flags=.p....F.C"
"134","0.183187724","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=3383, FN=0, Flags=.p....F.C"
"135","0.183450886","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-56dBm","QoS Data, SN=3383, FN=0, Flags=.p..R.F.C"
"136","0.183889388","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-56dBm","QoS Data, SN=3384, FN=0, Flags=.p....F.C"
"137","0.183890099","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","187","-56dBm","QoS Data, SN=3385, FN=0, Flags=.p....F.C"
"141","0.186146052","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-55dBm","QoS Data, SN=3387, FN=0, Flags=.p....F.C"
"149","0.189399869","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-55dBm","QoS Data, SN=3389, FN=0, Flags=.p....F.C"
"157","0.191697197","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-55dBm","QoS Data, SN=3391, FN=0, Flags=.p....F.C"
"159","0.192437668","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1543","-55dBm","QoS Data, SN=3391, FN=0, Flags=.p..R.F.C"
"161","0.193372566","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-55dBm","QoS Data, SN=3393, FN=0, Flags=.p....F.C"
"165","0.194645447","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-54dBm","QoS Data, SN=3394, FN=0, Flags=.p....F.C"
