"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=484, FN=0, Flags=.p....F.C"
"2","0.000187864","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=485, FN=0, Flags=.p....F.C"
"3","0.000322226","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=486, FN=0, Flags=.p....F.C"
"13","0.004634710","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=487, FN=0, Flags=.p....F.C"
"16","0.011438211","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=488, FN=0, Flags=.p....F.C"
"20","0.013756143","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=489, FN=0, Flags=.p....F.C"
"21","0.013757156","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=490, FN=0, Flags=.p....F.C"
"22","0.014213147","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=491, FN=0, Flags=.p....F.C"
"23","0.014213811","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=492, FN=0, Flags=.p....F.C"
"28","0.015169137","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=497, FN=0, Flags=.p....F.C"
"31","0.016623283","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=498, FN=0, Flags=.p....F.C"
"32","0.016623888","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=499, FN=0, Flags=.p....F.C"
"33","0.017041892","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=500, FN=0, Flags=.p....F.C"
"36","0.019676326","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-56dBm","QoS Data, SN=501, FN=0, Flags=.p....F.C"
"38","0.020493518","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-56dBm","QoS Data, SN=501, FN=0, Flags=.p..R.F.C"
"40","0.021312072","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-56dBm","QoS Data, SN=501, FN=0, Flags=.p..R.F.C"
"43","0.030232476","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-55dBm","QoS Data, SN=503, FN=0, Flags=.p....F.C"
"44","0.033003715","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-55dBm","QoS Data, SN=504, FN=0, Flags=.p....F.C"
"45","0.033519752","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-56dBm","QoS Data, SN=504, FN=0, Flags=.p..R.F.C"
"47","0.035337035","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-51dBm","QoS Data, SN=504, FN=0, Flags=.p..R.F.C"
"49","0.036363412","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-55dBm","QoS Data, SN=506, FN=0, Flags=.p....F.C"
"51","0.038249470","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=508, FN=0, Flags=.p....F.C"
"55","0.044289000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-55dBm","QoS Data, SN=509, FN=0, Flags=.p....F.C"
"57","0.045016269","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-55dBm","QoS Data, SN=511, FN=0, Flags=.p....F.C"
"60","0.052890840","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-55dBm","QoS Data, SN=512, FN=0, Flags=.p....F.C"
"61","0.055338916","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-55dBm","QoS Data, SN=513, FN=0, Flags=.p....F.C"
"63","0.063595379","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-55dBm","QoS Data, SN=514, FN=0, Flags=.p....F.C"
"65","0.066294531","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=516, FN=0, Flags=.p....F.C"
"74","0.069227985","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=517, FN=0, Flags=.p....F.C"
"75","0.069228520","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=518, FN=0, Flags=.p....F.C"
"77","0.069881120","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=519, FN=0, Flags=.p....F.C"
"87","0.072117055","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=520, FN=0, Flags=.p....F.C"
"93","0.077197408","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","QoS Data, SN=521, FN=0, Flags=.p....F.C"
"98","0.092240389","e8:48:b8:da:df:46","Broadcast","802.11","452","-53dBm","Beacon frame, SN=50, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"100","0.094313797","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-55dBm","QoS Data, SN=522, FN=0, Flags=.p....F.C"
"102","0.105074925","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-54dBm","QoS Data, SN=523, FN=0, Flags=.p....F.C"
"104","0.107703664","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-54dBm","QoS Data, SN=524, FN=0, Flags=.p....F.C"
"105","0.108071048","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-54dBm","QoS Data, SN=525, FN=0, Flags=.p....F.C"
"108","0.118998197","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-55dBm","QoS Data, SN=526, FN=0, Flags=.p....F.C"
"109","0.120421311","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-55dBm","QoS Data, SN=526, FN=0, Flags=.p..R.F.C"
"110","0.120966864","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-55dBm","QoS Data, SN=526, FN=0, Flags=.p..R.F.C"
"111","0.121301268","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-55dBm","QoS Data, SN=527, FN=0, Flags=.p....F.C"
"112","0.121806850","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-55dBm","QoS Data, SN=527, FN=0, Flags=.p..R.F.C"
"115","0.122744307","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-55dBm","QoS Data, SN=527, FN=0, Flags=.p..R.F.C"
"117","0.123629306","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-54dBm","QoS Data, SN=529, FN=0, Flags=.p....F.C"
"120","0.129268967","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=530, FN=0, Flags=.p....F.C"
"122","0.137895894","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=531, FN=0, Flags=.p....F.C"
"123","0.137896851","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-54dBm","QoS Data, SN=532, FN=0, Flags=.p....F.C"
"125","0.140330041","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=533, FN=0, Flags=.p....F.C"
"126","0.140330739","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=534, FN=0, Flags=.p....F.C"
"132","0.143253997","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=535, FN=0, Flags=.p....F.C"
"135","0.154340351","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=536, FN=0, Flags=.p....F.C"
"136","0.154497228","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=537, FN=0, Flags=.p....F.C"
"142","0.159760410","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=538, FN=0, Flags=.p....F.C"
"143","0.159761324","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=539, FN=0, Flags=.p....F.C"
"144","0.160526286","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=540, FN=0, Flags=.p....F.C"
"149","0.162496972","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","QoS Data, SN=542, FN=0, Flags=.p....F.C"
