"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"12139","3.602190161","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","5785MHz","43.3333","QoS Data, SN=653, FN=0, Flags=.p..R.F.C"
"12151","3.606659734","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=657, FN=0, Flags=.p....F.C"
"12152","3.606661155","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=658, FN=0, Flags=.p....F.C"
"12153","3.607195118","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-55dBm","5785MHz","43.3333","QoS Data, SN=659, FN=0, Flags=.p....F.C"
"12154","3.607196403","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","5785MHz","43.3333","QoS Data, SN=660, FN=0, Flags=.p....F.C"
"12155","3.607197302","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","5785MHz","43.3333","QoS Data, SN=661, FN=0, Flags=.p....F.C"
"12160","3.608990593","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","5785MHz","43.3333","QoS Data, SN=666, FN=0, Flags=.p....F.C"
"12169","3.611977521","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","5785MHz","43.3333","QoS Data, SN=666, FN=0, Flags=.p..R.F.C"
"12177","3.614356922","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=674, FN=0, Flags=.p....F.C"
"12178","3.614358255","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=675, FN=0, Flags=.p....F.C"
