"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-53dBm","QoS Data, SN=3735, FN=0, Flags=.p....F.C"
"2","0.010292133","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=3736, FN=0, Flags=.p....F.C"
"3","0.039494822","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-49dBm","QoS Data, SN=3737, FN=0, Flags=.p....F.C"
"4","0.073726058","e8:48:b8:da:df:46","Broadcast","802.11","452","-47dBm","Beacon frame, SN=1337, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"6","0.074886336","Bose_f6:d9:db","IPv4mcast_7f:ff:fa","802.11","261","-47dBm","Data, SN=1339, FN=0, Flags=.p....F.C"
"7","0.075016630","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-53dBm","QoS Data, SN=3738, FN=0, Flags=.p....F.C"
"8","0.080661554","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-53dBm","QoS Data, SN=3739, FN=0, Flags=.p....F.C"
"12","0.176346668","e8:48:b8:da:df:46","Broadcast","802.11","452","-48dBm","Beacon frame, SN=1340, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"14","0.177209050","32:07:de:3c:f5:80","IPv4mcast_fb","802.11","110","-48dBm","Data, SN=1342, FN=0, Flags=.p....F.C"
"15","0.224213430","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-53dBm","QoS Data, SN=3740, FN=0, Flags=.p....F.C"
"18","0.234972997","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3741, FN=0, Flags=.p....F.C"
"19","0.234974296","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","147","-54dBm","QoS Data, SN=3742, FN=0, Flags=.p....F.C"
"21","0.237408315","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3743, FN=0, Flags=.p....F.C"
"23","0.240179652","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3745, FN=0, Flags=.p....F.C"
"25","0.243171164","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3746, FN=0, Flags=.p....F.C"
"27","0.245926170","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3747, FN=0, Flags=.p....F.C"
"28","0.248674342","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-53dBm","QoS Data, SN=3748, FN=0, Flags=.p....F.C"
"30","0.254153335","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3749, FN=0, Flags=.p....F.C"
"31","0.254708096","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3749, FN=0, Flags=.p..R.F.C"
"33","0.268113027","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3750, FN=0, Flags=.p....F.C"
"35","0.270571094","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3751, FN=0, Flags=.p....F.C"
"36","0.271175188","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3751, FN=0, Flags=.p..R.F.C"
"37","0.278527422","e8:48:b8:da:df:46","Broadcast","802.11","452","-49dBm","Beacon frame, SN=1343, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"39","0.279509586","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3752, FN=0, Flags=.p....F.C"
"41","0.281714785","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3753, FN=0, Flags=.p....F.C"
"42","0.282337006","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3753, FN=0, Flags=.p..R.F.C"
"43","0.284800832","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3754, FN=0, Flags=.p....F.C"
"45","0.290118482","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-51dBm","QoS Data, SN=3755, FN=0, Flags=.p....F.C"
"46","0.293119016","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-54dBm","QoS Data, SN=3756, FN=0, Flags=.p....F.C"
"47","0.294031556","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1563","-53dBm","QoS Data, SN=3757, FN=0, Flags=.p....F.C"
