"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-50dBm","QoS Data, SN=553, FN=0, Flags=.p....F.C"
"2","0.000338086","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-50dBm","QoS Data, SN=554, FN=0, Flags=.p....F.C"
"3","0.000680380","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1523","-53dBm","QoS Data, SN=555, FN=0, Flags=.p....F.C"
"6","0.002855541","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1008","-50dBm","QoS Data, SN=557, FN=0, Flags=.p....F.C"
"14","0.018992041","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=558, FN=0, Flags=.p....F.C"
"16","0.064105268","e8:48:b8:da:df:46","Broadcast","802.11","452","-50dBm","Beacon frame, SN=3516, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"18","0.065032187","Bose_f6:fa:af","IPv4mcast_7f:ff:fa","802.11","261","-49dBm","Data, SN=3518, FN=0, Flags=.p....F.C"
"23","0.109821879","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","259","-53dBm","QoS Data, SN=559, FN=0, Flags=.p....F.C"
"25","0.131759490","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=560, FN=0, Flags=.p....F.C"
"26","0.161990517","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-53dBm","QoS Data, SN=561, FN=0, Flags=.p....F.C"
"28","0.166487734","e8:48:b8:da:df:46","Broadcast","802.11","452","-49dBm","Beacon frame, SN=3519, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"30","0.175739987","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-53dBm","QoS Data, SN=562, FN=0, Flags=.p....F.C"
"31","0.192480165","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=563, FN=0, Flags=.p....F.C"
"32","0.198228244","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=564, FN=0, Flags=.p....F.C"
"33","0.268903125","e8:48:b8:da:df:46","Broadcast","802.11","452","-48dBm","Beacon frame, SN=3521, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"35","0.272272647","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-49dBm","QoS Data, SN=565, FN=0, Flags=.p....F.C"
"36","0.280498563","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=566, FN=0, Flags=.p....F.C"
"37","0.296990037","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","147","-50dBm","QoS Data, SN=567, FN=0, Flags=.p....F.C"
"38","0.299985203","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=568, FN=0, Flags=.p....F.C"
"39","0.304965554","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-51dBm","QoS Data, SN=569, FN=0, Flags=.p....F.C"
