"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-52dBm","QoS Data, SN=862, FN=0, Flags=.p....F.C"
"2","0.000307340","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-52dBm","QoS Data, SN=863, FN=0, Flags=.p....F.C"
"3","0.000654212","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=864, FN=0, Flags=.p....F.C"
"4","0.001008253","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=865, FN=0, Flags=.p....F.C"
"5","0.001361687","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=866, FN=0, Flags=.p....F.C"
"7","0.002543746","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=868, FN=0, Flags=.p....F.C"
"8","0.003032284","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=869, FN=0, Flags=.p....F.C"
"14","0.004432396","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-52dBm","QoS Data, SN=871, FN=0, Flags=.p....F.C"
"15","0.004787695","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-50dBm","QoS Data, SN=872, FN=0, Flags=.p....F.C"
"16","0.005145844","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-51dBm","QoS Data, SN=873, FN=0, Flags=.p....F.C"
"18","0.005860045","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=875, FN=0, Flags=.p....F.C"
"22","0.007350350","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=879, FN=0, Flags=.p....F.C"
"28","0.009306687","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=881, FN=0, Flags=.p....F.C"
"34","0.011126525","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-52dBm","QoS Data, SN=887, FN=0, Flags=.p....F.C"
"40","0.012674058","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=893, FN=0, Flags=.p....F.C"
"55","0.015572394","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-52dBm","QoS Data, SN=901, FN=0, Flags=.p....F.C"
"59","0.016760878","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=905, FN=0, Flags=.p....F.C"
"69","0.019226201","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=909, FN=0, Flags=.p....F.C"
"73","0.021546956","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=911, FN=0, Flags=.p....F.C"
"77","0.029220367","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-52dBm","QoS Data, SN=913, FN=0, Flags=.p....F.C"
"79","0.038241573","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-52dBm","QoS Data, SN=914, FN=0, Flags=.p....F.C"
"81","0.058551437","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=915, FN=0, Flags=.p....F.C"
"82","0.059394436","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=916, FN=0, Flags=.p....F.C"
"83","0.059868654","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=916, FN=0, Flags=.p..R.F.C"
"85","0.071173656","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=917, FN=0, Flags=.p....F.C"
"86","0.071895033","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-50dBm","QoS Data, SN=918, FN=0, Flags=.p....F.C"
"87","0.072251342","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=919, FN=0, Flags=.p....F.C"
"88","0.072602226","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=920, FN=0, Flags=.p....F.C"
"89","0.072957254","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=921, FN=0, Flags=.p....F.C"
"90","0.073311917","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","QoS Data, SN=922, FN=0, Flags=.p....F.C"
"94","0.077145549","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-53dBm","QoS Data, SN=923, FN=0, Flags=.p....F.C"
"96","0.077808503","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","868","-53dBm","QoS Data, SN=925, FN=0, Flags=.p....F.C"
"97","0.078229895","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-53dBm","QoS Data, SN=926, FN=0, Flags=.p....F.C"
"103","0.088516162","e8:48:b8:da:df:46","Broadcast","802.11","452","-50dBm","Beacon frame, SN=34, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"104","0.089470718","Bose_f6:d9:db","IPv4mcast_7f:ff:fa","802.11","261","-49dBm","Data, SN=36, FN=0, Flags=.p....F.C"
"112","0.093220593","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-53dBm","QoS Data, SN=927, FN=0, Flags=.p....F.C"
"114","0.101883615","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-51dBm","QoS Data, SN=928, FN=0, Flags=.p....F.C"
"116","0.114163106","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=929, FN=0, Flags=.p....F.C"
"118","0.124513383","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=930, FN=0, Flags=.p....F.C"
"120","0.151259672","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=931, FN=0, Flags=.p....F.C"
"122","0.155172760","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=932, FN=0, Flags=.p....F.C"
"123","0.155472850","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=932, FN=0, Flags=.p..R.F.C"
"125","0.164098318","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=933, FN=0, Flags=.p....F.C"
"127","0.166153331","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=934, FN=0, Flags=.p....F.C"
"129","0.189381581","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=935, FN=0, Flags=.p....F.C"
"130","0.190118725","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=936, FN=0, Flags=.p....F.C"
"131","0.190944364","e8:48:b8:da:df:46","Broadcast","802.11","452","-52dBm","Beacon frame, SN=37, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"133","0.191914656","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=937, FN=0, Flags=.p....F.C"
"134","0.191915790","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=938, FN=0, Flags=.p....F.C"
"135","0.192411919","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-55dBm","QoS Data, SN=937, FN=0, Flags=.p..R.F.C"
"136","0.192413095","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-55dBm","QoS Data, SN=938, FN=0, Flags=.p..R.F.C"
"138","0.193237285","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-55dBm","QoS Data, SN=939, FN=0, Flags=.p....F.C"
"141","0.194294706","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=942, FN=0, Flags=.p....F.C"
"142","0.194652805","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=943, FN=0, Flags=.p....F.C"
"143","0.194725335","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-54dBm","QoS Data, SN=944, FN=0, Flags=.p....F.C"
"148","0.198094434","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=946, FN=0, Flags=.p....F.C"
"150","0.198840525","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-53dBm","QoS Data, SN=947, FN=0, Flags=.p....F.C"
"151","0.200573111","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=948, FN=0, Flags=.p....F.C"
"152","0.200966686","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=949, FN=0, Flags=.p....F.C"
"153","0.201796048","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=950, FN=0, Flags=.p....F.C"
"154","0.202469012","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=951, FN=0, Flags=.p....F.C"
"155","0.202741378","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=952, FN=0, Flags=.p....F.C"
"156","0.203460123","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=953, FN=0, Flags=.p....F.C"
"157","0.203740138","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=954, FN=0, Flags=.p....F.C"
"158","0.204523915","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=955, FN=0, Flags=.p....F.C"
"161","0.205943164","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=956, FN=0, Flags=.p....F.C"
"163","0.206798406","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=958, FN=0, Flags=.p....F.C"
"164","0.206799354","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-51dBm","QoS Data, SN=959, FN=0, Flags=.p....F.C"
"166","0.207698491","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=961, FN=0, Flags=.p....F.C"
"167","0.207979849","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=962, FN=0, Flags=.p....F.C"
"168","0.208393679","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=963, FN=0, Flags=.p....F.C"
"171","0.209537456","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=964, FN=0, Flags=.p....F.C"
"172","0.209819836","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=965, FN=0, Flags=.p....F.C"
"173","0.210456298","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=966, FN=0, Flags=.p....F.C"
