"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-48dBm","QoS Data, SN=24, FN=0, Flags=.p....F.C"
"2","0.000602764","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-49dBm","QoS Data, SN=25, FN=0, Flags=.p....F.C"
"5","0.013978034","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-51dBm","QoS Data, SN=26, FN=0, Flags=.p....F.C"
"8","0.019841362","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-48dBm","QoS Data, SN=27, FN=0, Flags=.p....F.C"
"10","0.022220241","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-52dBm","QoS Data, SN=28, FN=0, Flags=.p....F.C"
"11","0.022535598","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=28, FN=0, Flags=.p..R.F.C"
"13","0.046817716","e8:48:b8:da:df:46","Broadcast","802.11","452","-47dBm","Beacon frame, SN=3094, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"15","0.052672346","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=29, FN=0, Flags=.p....F.C"
"17","0.071564290","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-49dBm","QoS Data, SN=30, FN=0, Flags=.p....F.C"
"18","0.071895549","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-53dBm","QoS Data, SN=30, FN=0, Flags=.p..R.F.C"
"19","0.072266305","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=30, FN=0, Flags=.p..R.F.C"
"21","0.081249623","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-52dBm","QoS Data, SN=31, FN=0, Flags=.p....F.C"
"24","0.110221824","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-49dBm","QoS Data, SN=32, FN=0, Flags=.p....F.C"
"26","0.111176983","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-49dBm","QoS Data, SN=34, FN=0, Flags=.p....F.C"
"27","0.111816300","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-52dBm","QoS Data, SN=34, FN=0, Flags=.p..R.F.C"
"28","0.112274837","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=34, FN=0, Flags=.p..R.F.C"
"29","0.113148874","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-53dBm","QoS Data, SN=35, FN=0, Flags=.p....F.C"
"31","0.113715019","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-53dBm","QoS Data, SN=37, FN=0, Flags=.p....F.C"
"34","0.115984673","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-49dBm","QoS Data, SN=39, FN=0, Flags=.p....F.C"
"38","0.118611452","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=41, FN=0, Flags=.p....F.C"
"39","0.118918102","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-52dBm","QoS Data, SN=42, FN=0, Flags=.p....F.C"
"41","0.120002666","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-49dBm","QoS Data, SN=42, FN=0, Flags=.p..R.F.C"
"45","0.124120116","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=44, FN=0, Flags=.p....F.C"
"47","0.124794955","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=44, FN=0, Flags=.p..R.F.C"
"49","0.125571900","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=46, FN=0, Flags=.p....F.C"
"51","0.127137225","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=47, FN=0, Flags=.p....F.C"
"52","0.127656303","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-53dBm","QoS Data, SN=47, FN=0, Flags=.p..R.F.C"
"54","0.128357028","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=49, FN=0, Flags=.p....F.C"
"56","0.129234590","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=50, FN=0, Flags=.p....F.C"
"59","0.132460985","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=51, FN=0, Flags=.p....F.C"
"61","0.135550061","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=52, FN=0, Flags=.p....F.C"
"63","0.138101078","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=53, FN=0, Flags=.p....F.C"
"64","0.138540711","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=53, FN=0, Flags=.p..R.F.C"
"67","0.140858743","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-52dBm","QoS Data, SN=55, FN=0, Flags=.p....F.C"
"68","0.141312589","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=55, FN=0, Flags=.p..R.F.C"
"70","0.141921876","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=57, FN=0, Flags=.p....F.C"
"73","0.146414587","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=58, FN=0, Flags=.p....F.C"
"74","0.146548531","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=59, FN=0, Flags=.p....F.C"
"75","0.146685035","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=60, FN=0, Flags=.p....F.C"
"77","0.147252209","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-53dBm","QoS Data, SN=60, FN=0, Flags=.p..R.F.C"
"79","0.148013573","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-52dBm","QoS Data, SN=62, FN=0, Flags=.p....F.C"
"81","0.148508680","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=62, FN=0, Flags=.p..R.F.C"
"82","0.149201370","e8:48:b8:da:df:46","Broadcast","802.11","452","-48dBm","Beacon frame, SN=3096, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"83","0.150173264","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=64, FN=0, Flags=.p....F.C"
"84","0.150643231","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=64, FN=0, Flags=.p..R.F.C"
"86","0.151695044","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-49dBm","QoS Data, SN=66, FN=0, Flags=.p....F.C"
"91","0.154611248","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-49dBm","QoS Data, SN=67, FN=0, Flags=.p....F.C"
"92","0.155071844","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-50dBm","QoS Data, SN=67, FN=0, Flags=.p..R.F.C"
"95","0.157918412","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=68, FN=0, Flags=.p....F.C"
"97","0.165332874","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","143","-49dBm","QoS Data, SN=69, FN=0, Flags=.p....F.C"
"98","0.165742159","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","143","-50dBm","QoS Data, SN=69, FN=0, Flags=.p..R.F.C"
"100","0.176495492","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-49dBm","QoS Data, SN=70, FN=0, Flags=.p....F.C"
